batting_team,batter,won,innings,wickets_fallen,bowling_team,venue,first_ball
Australia,AJ Finch,0.0,1,3,England,Adelaide Oval,91
Australia,AJ Finch,1.0,1,4,England,Melbourne Cricket Ground,63
Australia,AJ Finch,1.0,1,0,England,Bellerive Oval,1
Australia,AJ Finch,1.0,2,0,England,Melbourne Cricket Ground,1
Australia,AJ Finch,1.0,1,0,England,Stadium Australia,1
Australia,AJ Finch,0.0,1,0,England,The Rose Bowl,1
Australia,AJ Finch,0.0,1,0,England,Dubai International Cricket Stadium,1
Australia,AJ Finch,0.0,1,0,India,Melbourne Cricket Ground,1
Australia,AJ Finch,0.0,2,0,India,Shere Bangla National Stadium,1
Australia,AJ Finch,0.0,2,0,India,Adelaide Oval,1
Australia,AJ Finch,0.0,2,0,India,Melbourne Cricket Ground,1
Australia,AJ Finch,0.0,1,0,India,JSCA International Stadium Complex,1
Australia,AJ Finch,1.0,1,0,India,Brisbane Cricket Ground,1
Australia,AJ Finch,0.0,1,0,India,Sydney Cricket Ground,1
Australia,AJ Finch,1.0,1,0,India,Sydney Cricket Ground,1
Australia,AJ Finch,0.0,1,0,India,Vidarbha Cricket Association Stadium,1
Australia,AJ Finch,0.0,1,0,India,Rajiv Gandhi International Cricket Stadium,1
Australia,AJ Finch,1.0,1,0,Ireland,Brisbane Cricket Ground,1
Australia,AJ Finch,1.0,1,0,New Zealand,Sky Stadium,0
Australia,AJ Finch,1.0,1,0,New Zealand,Sky Stadium,1
Australia,AJ Finch,0.0,1,0,New Zealand,Sky Stadium,1
Australia,AJ Finch,0.0,2,0,Pakistan,Shere Bangla National Stadium,1
Australia,AJ Finch,1.0,2,0,Pakistan,Dubai International Cricket Stadium,1
Australia,AJ Finch,1.0,1,0,Pakistan,Punjab Cricket Association IS Bindra Stadium,1
Australia,AJ Finch,0.0,1,0,Pakistan,Harare Sports Club,1
Australia,AJ Finch,1.0,2,0,Pakistan,Manuka Oval,1
Australia,AJ Finch,1.0,2,0,Pakistan,Perth Stadium,1
Australia,AJ Finch,0.0,1,0,South Africa,Adelaide Oval,1
Australia,AJ Finch,1.0,2,0,South Africa,Melbourne Cricket Ground,1
Australia,AJ Finch,1.0,2,0,South Africa,Stadium Australia,1
Australia,AJ Finch,0.0,1,0,Sri Lanka,Stadium Australia,1
Australia,AJ Finch,0.0,2,0,Sri Lanka,Melbourne Cricket Ground,1
Australia,AJ Finch,0.0,1,0,Sri Lanka,Melbourne Cricket Ground,1
Australia,AJ Finch,0.0,1,0,Sri Lanka,GMHBA Stadium,1
Australia,AJ Finch,1.0,1,0,Sri Lanka,Adelaide Oval,1
Australia,AJ Finch,1.0,1,0,Sri Lanka,Adelaide Oval,1
Australia,AJ Finch,1.0,2,0,Sri Lanka,Brisbane Cricket Ground,1
Australia,AJ Finch,1.0,2,0,Sri Lanka,Melbourne Cricket Ground,1
Australia,AJ Finch,1.0,1,0,Sri Lanka,Sydney Cricket Ground,1
Australia,AJ Finch,-1.0,1,0,Sri Lanka,Sydney Cricket Ground,1
Australia,AJ Finch,0.0,1,0,Sri Lanka,Melbourne Cricket Ground,1
Australia,AJ Finch,0.0,1,0,Sri Lanka,Pallekele International Cricket Stadium,1
Australia,AJ Finch,0.0,2,0,West Indies,Brisbane Cricket Ground,1
Australia,AJ Finch,0.0,1,0,West Indies,Shere Bangla National Stadium,1
Australia,AJ Finch,0.0,1,0,West Indies,Daren Sammy National Cricket Stadium,1
