,batter,batter_runs,balls_faced,innings,wickets_fallen,bowling_team,batting_team,venue,toss_winner,batter_type,non_striker_type,first_ball,current_team_total,is_powerplay,strike_rate,last_ball,Left arm Fast,Left arm Orthodox,Left arm Wrist spin,Right arm Fast,Right arm Legbreak,Right arm Offbreak,recent_form,Left arm Fast Expected Runs,Left arm Fast Expected Wickets,Left arm Fast Strike Rate,Left arm Fast Deliveries Per Wicket,Right arm Fast Expected Runs,Right arm Fast Expected Wickets,Right arm Fast Strike Rate,Right arm Fast Deliveries Per Wicket,Left arm Orthodox Expected Runs,Left arm Orthodox Expected Wickets,Left arm Orthodox Strike Rate,Left arm Orthodox Deliveries Per Wicket,Left arm Wrist spin Expected Runs,Left arm Wrist spin Expected Wickets,Left arm Wrist spin Strike Rate,Left arm Wrist spin Deliveries Per Wicket,Right arm Legbreak Expected Runs,Right arm Legbreak Expected Wickets,Right arm Legbreak Strike Rate,Right arm Legbreak Deliveries Per Wicket,Right arm Offbreak Expected Runs,Right arm Offbreak Expected Wickets,Right arm Offbreak Strike Rate,Right arm Offbreak Deliveries Per Wicket,expected_wickets,expected_runs
0,A Balbirnie,31,24,1,1,Zimbabwe,Ireland,"Bready Cricket Club, Magheramason, Bready",0,Right hand Bat,Right hand Bat,36,33,False,129.17,93,14.0,12.0,0.0,63.0,32.0,30.0,13.2,18.459280000000003,0.6222222222222222,131.852,22.5,77.06538,3.223330775134305,122.326,19.545,13.959240000000001,0.7347088716096247,116.327,16.333,0.0,0.0,0.0,0.0,29.50368,2.269503546099291,92.199,14.1,34.199999999999996,1.7999640007199855,114.0,16.667,8.649729415785428,58.88646482590228
1,A Balbirnie,36,32,1,1,West Indies,Ireland,"Warner Park, St Kitts",0,Right hand Bat,Right hand Bat,11,6,True,112.5,80,18.0,12.0,0.0,62.0,12.0,0.0,7.0,23.73336,0.8,131.852,22.5,75.84212,3.1721667945766177,122.326,19.545,13.959240000000001,0.7347088716096247,116.327,16.333,0.0,0.0,0.0,0.0,11.06388,0.851063829787234,92.199,14.1,0.0,0.0,114.0,16.667,5.557939495973477,52.85137070133287
2,A Balbirnie,6,7,2,1,South Africa,Ireland,"Civil Service Cricket Club, Stormont, Belfast",0,Right hand Bat,Right hand Bat,7,1,True,85.71,26,48.0,18.0,0.0,83.0,0.0,48.0,22.0,63.28896,2.1333333333333333,131.852,22.5,101.53058,4.246610386288053,122.326,19.545,20.938860000000002,1.102063307414437,116.327,16.333,0.0,0.0,0.0,0.0,0.0,0.0,92.199,14.1,54.72,2.8799424011519767,114.0,16.667,10.361949428187799,74.70597523401976
3,A Balbirnie,5,4,1,1,Afghanistan,Ireland,"Rajiv Gandhi International Cricket Stadium, Dehradun",1,Right hand Bat,Right hand Bat,28,27,True,125.0,35,30.0,12.0,0.0,80.0,24.0,33.0,0.0,39.555600000000005,1.3333333333333333,131.852,22.5,97.8608,4.093118444614991,122.326,19.545,13.959240000000001,0.7347088716096247,116.327,16.333,0.0,0.0,0.0,0.0,22.12776,1.702127659574468,92.199,14.1,37.62,1.979960400791984,114.0,16.667,9.843248709924401,67.29257419041564
4,A Balbirnie,7,11,1,1,West Indies,Ireland,"National Cricket Stadium, Grenada",1,Right hand Bat,Right hand Bat,76,154,False,63.64,92,25.0,15.0,0.0,40.0,6.0,6.0,0.0,32.963,1.1111111111111112,131.852,22.5,48.9304,2.0465592223074953,122.326,19.545,17.44905,0.9183860895120309,116.327,16.333,0.0,0.0,0.0,0.0,5.53194,0.425531914893617,92.199,14.1,6.84,0.3599928001439971,114.0,16.667,4.861581137968252,50.666435211682376
5,A Balbirnie,47,33,2,1,Afghanistan,Ireland,"Rajiv Gandhi International Cricket Stadium, Dehradun",1,Right hand Bat,Right hand Bat,18,32,True,142.42,82,38.0,49.0,0.0,80.0,26.0,24.0,3.5,50.10376000000001,1.6888888888888889,131.852,22.5,97.8608,4.093118444614991,122.326,19.545,57.00023,3.000061225739301,116.327,16.333,0.0,0.0,0.0,0.0,23.97174,1.8439716312056738,92.199,14.1,27.36,1.4399712005759884,114.0,16.667,12.066011391024842,73.78377322406836
6,A Balbirnie,9,7,2,2,India,Ireland,"The Village, Malahide",1,Right hand Bat,Right hand Bat,17,18,True,128.57,36,0.0,24.0,0.0,92.0,25.0,21.0,11.0,0.0,0.0,131.852,22.5,112.53992,4.70708621130724,122.326,19.545,27.918480000000002,1.4694177432192495,116.327,16.333,0.0,0.0,0.0,0.0,23.04975,1.773049645390071,92.199,14.1,23.939999999999998,1.2599748005039897,114.0,16.667,9.20952840042055,61.76784687318946
7,A Balbirnie,2,4,2,1,Afghanistan,Ireland,"Rajiv Gandhi International Cricket Stadium, Dehradun",0,Right hand Bat,Right hand Bat,72,130,False,50.0,78,12.0,0.0,0.0,49.0,24.0,23.0,5.0,15.82224,0.5333333333333333,131.852,22.5,59.93974,2.507035047326682,122.326,19.545,0.0,0.0,116.327,16.333,0.0,0.0,0.0,0.0,22.12776,1.702127659574468,92.199,14.1,26.22,1.3799724005519889,114.0,16.667,6.122468440786472,50.158274540606094
8,A Balbirnie,27,22,2,1,South Africa,Ireland,"Civil Service Cricket Club, Stormont, Belfast",0,Right hand Bat,Right hand Bat,10,9,True,122.73,55,26.0,36.0,0.0,122.0,18.0,18.0,14.0,34.28152,1.1555555555555554,131.852,22.5,149.23772,6.242005628037861,122.326,19.545,41.877720000000004,2.204126614828874,116.327,16.333,0.0,0.0,0.0,0.0,16.59582,1.2765957446808511,92.199,14.1,20.52,1.0799784004319912,114.0,16.667,11.958261943535131,75.91304638822236
9,A Balbirnie,46,35,2,1,Afghanistan,Ireland,Greater Noida Sports Complex Ground,0,Right hand Bat,Right hand Bat,19,29,True,131.43,76,42.0,7.0,0.0,75.0,49.0,36.0,25.0,55.377840000000006,1.8666666666666667,131.852,22.5,91.7445,3.837298541826554,122.326,19.545,8.14289,0.42858017510561447,116.327,16.333,0.0,0.0,0.0,0.0,45.17751,3.475177304964539,92.199,14.1,41.04,2.1599568008639825,114.0,16.667,11.767679489427357,70.39481620360796
