,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,Mohammad Rizwan,DJ Willey,Babar Azam,2,0,2,2,197,2,1,0,1,1,-,0,bat,England,2,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,Pakistan,England,203
1,Mohammad Rizwan,DJ Willey,Babar Azam,4,0,4,6,193,6,2,0,2,1,-,0,bat,England,2,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,Pakistan,England,203
2,Mohammad Rizwan,DJ Willey,Babar Azam,0,0,0,6,193,6,3,0,3,1,-,0,bat,England,2,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,Pakistan,England,203
3,Mohammad Rizwan,DJ Willey,Babar Azam,4,0,4,10,189,10,4,0,4,1,-,0,bat,England,2,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,Pakistan,England,203
4,Mohammad Rizwan,DJ Willey,Babar Azam,1,0,1,11,188,11,5,0,5,1,-,0,bat,England,2,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,Pakistan,England,203
5,Babar Azam,DJ Willey,Mohammad Rizwan,1,0,1,12,187,1,1,0,6,1,-,0,bat,England,2,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,Pakistan,England,203
6,Babar Azam,LA Dawson,Mohammad Rizwan,1,0,1,13,186,2,2,0,1,2,-,0,bat,England,2,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,Pakistan,England,203
7,Mohammad Rizwan,LA Dawson,Babar Azam,1,0,1,14,185,12,6,0,2,2,-,0,bat,England,2,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,Pakistan,England,203
8,Babar Azam,LA Dawson,Mohammad Rizwan,0,0,0,14,185,2,3,0,3,2,-,0,bat,England,2,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,Pakistan,England,203
9,Babar Azam,LA Dawson,Mohammad Rizwan,0,0,0,14,185,2,4,0,4,2,-,0,bat,England,2,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,Pakistan,England,203
10,Babar Azam,LA Dawson,Mohammad Rizwan,1,0,1,15,184,3,5,0,5,2,-,0,bat,England,2,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,Pakistan,England,203
11,Mohammad Rizwan,LA Dawson,Babar Azam,1,0,1,16,183,13,7,0,6,2,-,0,bat,England,2,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,Pakistan,England,203
12,Mohammad Rizwan,SM Curran,Babar Azam,1,0,1,17,182,14,8,0,1,3,-,0,bat,England,2,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,Pakistan,England,203
