,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,KR Mayers,DL Chahar,SD Hope,,2,0,2,2,182,2,1,0,-,1.0,0,,,0,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167
1,KR Mayers,DL Chahar,SD Hope,,0,0,0,2,182,2,2,0,-,2.0,0,,,0,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167
2,KR Mayers,DL Chahar,SD Hope,"{'by': 'West Indies', 'umpire': 'KN Ananthapadmanabhan', 'batter': 'KR Mayers', 'decision': 'upheld'}",0,0,0,2,182,2,3,0,-,3.0,0,,,0,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167
3,KR Mayers,DL Chahar,SD Hope,,4,0,4,6,178,6,4,0,-,4.0,0,,,0,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167
4,KR Mayers,DL Chahar,SD Hope,"{'by': 'India', 'umpire': 'KN Ananthapadmanabhan', 'batter': 'KR Mayers', 'decision': 'upheld'}",0,0,0,6,178,6,5,1,-,5.0,caught,KR Mayers,Ishan Kishan,0,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167
5,N Pooran,DL Chahar,SD Hope,,1,0,1,7,177,1,1,1,-,6.0,0,,,0,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167
6,N Pooran,Avesh Khan,SD Hope,,4,0,4,11,173,5,2,1,-,1.0,0,,,1,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167
7,N Pooran,Avesh Khan,SD Hope,,2,0,2,13,171,7,3,1,-,2.0,0,,,1,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167
8,N Pooran,Avesh Khan,SD Hope,,4,0,4,17,167,11,4,1,-,3.0,0,,,1,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167
9,N Pooran,Avesh Khan,SD Hope,,0,0,0,17,167,11,5,1,-,4.0,0,,,1,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167
10,N Pooran,Avesh Khan,SD Hope,,0,1,1,18,166,11,6,1,wides,4.0,0,,,1,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167
11,N Pooran,Avesh Khan,SD Hope,,0,0,0,18,166,11,7,1,-,5.0,0,,,1,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167
12,N Pooran,Avesh Khan,SD Hope,,0,0,0,18,166,11,8,1,-,6.0,0,,,1,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167
13,SD Hope,DL Chahar,N Pooran,,4,0,4,22,162,4,1,1,-,1.0,0,,,2,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167
14,SD Hope,DL Chahar,N Pooran,,4,0,4,26,158,8,2,1,-,2.0,0,,,2,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167
