,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,RR Hendricks,K Sinclair,Q de Kock,1,0,1,1,159,1,1,0,1,1,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,166
1,Q de Kock,K Sinclair,RR Hendricks,1,0,1,2,158,1,1,0,2,1,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,166
2,RR Hendricks,K Sinclair,Q de Kock,0,0,0,2,158,1,2,0,3,1,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,166
3,RR Hendricks,K Sinclair,Q de Kock,0,0,0,2,158,1,3,0,4,1,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,166
4,RR Hendricks,K Sinclair,Q de Kock,1,0,1,3,157,2,4,0,5,1,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,166
5,Q de Kock,K Sinclair,RR Hendricks,0,0,0,3,157,1,2,0,6,1,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,166
6,RR Hendricks,FA Allen,Q de Kock,2,0,2,5,155,4,5,0,1,2,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,166
7,RR Hendricks,FA Allen,Q de Kock,1,0,1,6,154,5,6,0,2,2,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,166
8,Q de Kock,FA Allen,RR Hendricks,0,4,4,10,150,1,3,0,3,2,byes,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,166
9,Q de Kock,FA Allen,RR Hendricks,1,0,1,11,149,2,4,0,4,2,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,166
