,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Q de Kock,PVD Chameera,RR Hendricks,,0,0,0,0,,0,1,0,1,0,0,,,-,bat,South Africa,1,"R Premadasa Stadium, Colombo",2021,09,South Africa_Sri Lanka_2021-09-10,South Africa,South Africa,Sri Lanka,True,163
1,Q de Kock,PVD Chameera,RR Hendricks,,4,0,4,4,,4,2,0,2,0,0,,,-,bat,South Africa,1,"R Premadasa Stadium, Colombo",2021,09,South Africa_Sri Lanka_2021-09-10,South Africa,South Africa,Sri Lanka,True,163
2,Q de Kock,PVD Chameera,RR Hendricks,,0,0,0,4,,4,3,0,3,0,0,,,-,bat,South Africa,1,"R Premadasa Stadium, Colombo",2021,09,South Africa_Sri Lanka_2021-09-10,South Africa,South Africa,Sri Lanka,True,163
3,Q de Kock,PVD Chameera,RR Hendricks,"{'by': 'Sri Lanka', 'umpire': 'HDPK Dharmasena', 'batter': 'Q de Kock', 'decision': 'struck down'}",0,0,0,4,,4,4,0,4,0,0,,,-,bat,South Africa,1,"R Premadasa Stadium, Colombo",2021,09,South Africa_Sri Lanka_2021-09-10,South Africa,South Africa,Sri Lanka,True,163
4,Q de Kock,PVD Chameera,RR Hendricks,,0,0,0,4,,4,5,0,5,0,0,,,-,bat,South Africa,1,"R Premadasa Stadium, Colombo",2021,09,South Africa_Sri Lanka_2021-09-10,South Africa,South Africa,Sri Lanka,True,163
5,Q de Kock,PVD Chameera,RR Hendricks,,1,0,1,5,,5,6,0,6,0,0,,,-,bat,South Africa,1,"R Premadasa Stadium, Colombo",2021,09,South Africa_Sri Lanka_2021-09-10,South Africa,South Africa,Sri Lanka,True,163
6,Q de Kock,DM de Silva,RR Hendricks,,1,0,1,6,,6,7,0,1,1,0,,,-,bat,South Africa,1,"R Premadasa Stadium, Colombo",2021,09,South Africa_Sri Lanka_2021-09-10,South Africa,South Africa,Sri Lanka,True,163
7,RR Hendricks,DM de Silva,Q de Kock,,0,0,0,6,,0,1,0,2,1,0,,,-,bat,South Africa,1,"R Premadasa Stadium, Colombo",2021,09,South Africa_Sri Lanka_2021-09-10,South Africa,South Africa,Sri Lanka,True,163
8,RR Hendricks,DM de Silva,Q de Kock,,1,0,1,7,,1,2,0,3,1,0,,,-,bat,South Africa,1,"R Premadasa Stadium, Colombo",2021,09,South Africa_Sri Lanka_2021-09-10,South Africa,South Africa,Sri Lanka,True,163
9,Q de Kock,DM de Silva,RR Hendricks,,1,0,1,8,,7,8,0,4,1,0,,,-,bat,South Africa,1,"R Premadasa Stadium, Colombo",2021,09,South Africa_Sri Lanka_2021-09-10,South Africa,South Africa,Sri Lanka,True,163
10,RR Hendricks,DM de Silva,Q de Kock,,0,0,0,8,,1,3,0,5,1,0,,,-,bat,South Africa,1,"R Premadasa Stadium, Colombo",2021,09,South Africa_Sri Lanka_2021-09-10,South Africa,South Africa,Sri Lanka,True,163
