,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,MS Wade,DL Chahar,AJ Finch,0,0,0,0,194,0,1,0,1,1,0,,,-,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
1,MS Wade,DL Chahar,AJ Finch,0,0,0,0,194,0,2,0,2,1,0,,,-,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
2,MS Wade,DL Chahar,AJ Finch,4,0,4,4,190,4,3,0,3,1,0,,,-,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
3,MS Wade,DL Chahar,AJ Finch,0,0,0,4,190,4,4,0,4,1,0,,,-,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
4,MS Wade,DL Chahar,AJ Finch,4,0,4,8,186,8,5,0,5,1,0,,,-,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
5,MS Wade,DL Chahar,AJ Finch,1,0,1,9,185,9,6,0,6,1,0,,,-,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
6,MS Wade,Washington Sundar,AJ Finch,4,0,4,13,181,13,7,0,1,2,0,,,-,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
7,MS Wade,Washington Sundar,AJ Finch,1,0,1,14,180,14,8,0,2,2,0,,,-,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
8,AJ Finch,Washington Sundar,MS Wade,0,0,0,14,180,0,1,0,3,2,0,,,-,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
9,AJ Finch,Washington Sundar,MS Wade,0,0,0,14,180,0,2,1,4,2,caught,AJ Finch,HH Pandya,-,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
10,MS Wade,Washington Sundar,SPD Smith,0,0,0,14,180,14,9,1,5,2,0,,,-,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
11,MS Wade,Washington Sundar,SPD Smith,0,0,0,14,180,14,10,1,6,2,0,,,-,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
12,SPD Smith,DL Chahar,MS Wade,0,0,0,14,180,0,1,1,1,3,0,,,-,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
13,SPD Smith,DL Chahar,MS Wade,1,0,1,15,179,1,2,1,2,3,0,,,-,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
14,MS Wade,DL Chahar,SPD Smith,0,0,0,15,179,14,11,1,3,3,0,,,-,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
15,MS Wade,DL Chahar,SPD Smith,0,0,0,15,179,14,12,1,4,3,0,,,-,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
16,MS Wade,DL Chahar,SPD Smith,1,0,1,16,178,15,13,1,5,3,0,,,-,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
17,SPD Smith,DL Chahar,MS Wade,0,0,0,16,178,1,3,1,6,3,0,,,-,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
18,MS Wade,Washington Sundar,SPD Smith,0,5,5,21,173,15,14,1,1,4,0,,,wides,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
19,MS Wade,Washington Sundar,SPD Smith,4,0,4,25,169,19,15,1,2,4,0,,,-,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
20,MS Wade,Washington Sundar,SPD Smith,0,0,0,25,169,19,16,1,3,4,0,,,-,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
21,MS Wade,Washington Sundar,SPD Smith,1,0,1,26,168,20,17,1,4,4,0,,,-,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
22,SPD Smith,Washington Sundar,MS Wade,0,0,0,26,168,1,4,1,5,4,0,,,-,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
23,SPD Smith,Washington Sundar,MS Wade,1,0,1,27,167,2,5,1,6,4,0,,,-,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
24,MS Wade,Washington Sundar,SPD Smith,0,1,1,28,166,20,18,1,7,4,0,,,legbyes,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
25,MS Wade,DL Chahar,SPD Smith,4,0,4,32,162,24,19,1,1,5,0,,,-,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
26,MS Wade,DL Chahar,SPD Smith,4,0,4,36,158,28,20,1,2,5,0,,,-,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
27,MS Wade,DL Chahar,SPD Smith,0,1,1,37,157,28,21,1,3,5,0,,,wides,,field,India,1,Sydney Cricket Ground,2020,12,Australia_India_2020-12-08,Australia,Australia,India
