,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,RE Levi,Raza Hasan,HM Amla,0,0,0,0,,0,1,0,-,1.0,0,0,,,bat,South Africa,1,R Premadasa Stadium,2012,09,Pakistan_South Africa_2012-09-28,Pakistan,South Africa,Pakistan,False,133
1,RE Levi,Raza Hasan,HM Amla,1,0,1,1,,1,2,0,-,2.0,0,0,,,bat,South Africa,1,R Premadasa Stadium,2012,09,Pakistan_South Africa_2012-09-28,Pakistan,South Africa,Pakistan,False,133
2,HM Amla,Raza Hasan,RE Levi,0,0,0,1,,0,1,0,-,3.0,0,0,,,bat,South Africa,1,R Premadasa Stadium,2012,09,Pakistan_South Africa_2012-09-28,Pakistan,South Africa,Pakistan,False,133
3,HM Amla,Raza Hasan,RE Levi,2,0,2,3,,2,2,0,-,4.0,0,0,,,bat,South Africa,1,R Premadasa Stadium,2012,09,Pakistan_South Africa_2012-09-28,Pakistan,South Africa,Pakistan,False,133
4,HM Amla,Raza Hasan,RE Levi,0,0,0,3,,2,3,0,-,5.0,0,0,,,bat,South Africa,1,R Premadasa Stadium,2012,09,Pakistan_South Africa_2012-09-28,Pakistan,South Africa,Pakistan,False,133
5,HM Amla,Raza Hasan,RE Levi,0,0,0,3,,2,4,0,-,6.0,0,0,,,bat,South Africa,1,R Premadasa Stadium,2012,09,Pakistan_South Africa_2012-09-28,Pakistan,South Africa,Pakistan,False,133
6,RE Levi,Yasir Arafat,HM Amla,0,0,0,3,,1,3,0,-,1.0,1,0,,,bat,South Africa,1,R Premadasa Stadium,2012,09,Pakistan_South Africa_2012-09-28,Pakistan,South Africa,Pakistan,False,133
7,RE Levi,Yasir Arafat,HM Amla,0,0,0,3,,1,4,0,-,2.0,1,0,,,bat,South Africa,1,R Premadasa Stadium,2012,09,Pakistan_South Africa_2012-09-28,Pakistan,South Africa,Pakistan,False,133
8,RE Levi,Yasir Arafat,HM Amla,1,0,1,4,,2,5,0,-,3.0,1,0,,,bat,South Africa,1,R Premadasa Stadium,2012,09,Pakistan_South Africa_2012-09-28,Pakistan,South Africa,Pakistan,False,133
9,HM Amla,Yasir Arafat,RE Levi,4,0,4,8,,6,5,0,-,4.0,1,0,,,bat,South Africa,1,R Premadasa Stadium,2012,09,Pakistan_South Africa_2012-09-28,Pakistan,South Africa,Pakistan,False,133
