,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,W Madhevere,KR Mayers,RW Chakabva,,0,1,1,1,152,0,1,0,legbyes,1.0,0,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,False,122,Right hand Bat,Right hand Bat,Right arm Medium
1,RW Chakabva,KR Mayers,W Madhevere,,4,0,4,5,148,4,1,0,-,2.0,0,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,False,122,Right hand Bat,Right hand Bat,Right arm Medium
2,RW Chakabva,KR Mayers,W Madhevere,"{'by': 'West Indies', 'umpire': 'Aleem Dar', 'batter': 'RW Chakabva', 'decision': 'struck down'}",0,0,0,5,148,4,2,0,-,3.0,0,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,False,122,Right hand Bat,Right hand Bat,Right arm Medium
3,RW Chakabva,KR Mayers,W Madhevere,,0,5,5,10,143,4,2,0,wides,3.0,0,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,False,122,Right hand Bat,Right hand Bat,Right arm Medium
4,RW Chakabva,KR Mayers,W Madhevere,,0,0,0,10,143,4,3,0,-,4.0,0,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,False,122,Right hand Bat,Right hand Bat,Right arm Medium
5,RW Chakabva,KR Mayers,W Madhevere,,4,0,4,14,139,8,4,0,-,5.0,0,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,False,122,Right hand Bat,Right hand Bat,Right arm Medium
6,RW Chakabva,KR Mayers,W Madhevere,,4,0,4,18,135,12,5,0,-,6.0,0,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,False,122,Right hand Bat,Right hand Bat,Right arm Medium
7,W Madhevere,AJ Hosein,RW Chakabva,,4,1,5,23,130,4,1,0,noballs,0.0,1,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,False,122,Right hand Bat,Right hand Bat,Left arm Orthodox
8,W Madhevere,AJ Hosein,RW Chakabva,,1,0,1,24,129,5,2,0,-,1.0,1,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,False,122,Right hand Bat,Right hand Bat,Left arm Orthodox
9,RW Chakabva,AJ Hosein,W Madhevere,,0,0,0,24,129,12,6,0,-,2.0,1,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,False,122,Right hand Bat,Right hand Bat,Left arm Orthodox
