,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,RR Hendricks,Shoaib Malik,GL Cloete,0,0,0,0,,0,1,0,-,1.0,0,0,,,,field,Pakistan,1,Newlands,2019,02,South Africa_Pakistan_2019-02-01,South Africa,South Africa,Pakistan,True,192,Right hand Bat,Left hand Bat,Right arm Offbreak
1,RR Hendricks,Shoaib Malik,GL Cloete,0,0,0,0,,0,2,0,-,2.0,0,0,,,,field,Pakistan,1,Newlands,2019,02,South Africa_Pakistan_2019-02-01,South Africa,South Africa,Pakistan,True,192,Right hand Bat,Left hand Bat,Right arm Offbreak
2,RR Hendricks,Shoaib Malik,GL Cloete,1,0,1,1,,1,3,0,-,3.0,0,0,,,,field,Pakistan,1,Newlands,2019,02,South Africa_Pakistan_2019-02-01,South Africa,South Africa,Pakistan,True,192,Right hand Bat,Left hand Bat,Right arm Offbreak
3,GL Cloete,Shoaib Malik,RR Hendricks,4,0,4,5,,4,1,0,-,4.0,0,0,,,,field,Pakistan,1,Newlands,2019,02,South Africa_Pakistan_2019-02-01,South Africa,South Africa,Pakistan,True,192,Left hand Bat,Right hand Bat,Right arm Offbreak
4,GL Cloete,Shoaib Malik,RR Hendricks,1,0,1,6,,5,2,0,-,5.0,0,0,,,,field,Pakistan,1,Newlands,2019,02,South Africa_Pakistan_2019-02-01,South Africa,South Africa,Pakistan,True,192,Left hand Bat,Right hand Bat,Right arm Offbreak
5,RR Hendricks,Shoaib Malik,GL Cloete,6,0,6,12,,7,4,0,-,6.0,0,0,,,,field,Pakistan,1,Newlands,2019,02,South Africa_Pakistan_2019-02-01,South Africa,South Africa,Pakistan,True,192,Right hand Bat,Left hand Bat,Right arm Offbreak
6,GL Cloete,Imad Wasim,RR Hendricks,0,0,0,12,,5,3,0,-,1.0,1,0,,,,field,Pakistan,1,Newlands,2019,02,South Africa_Pakistan_2019-02-01,South Africa,South Africa,Pakistan,True,192,Left hand Bat,Right hand Bat,Left arm Orthodox
7,GL Cloete,Imad Wasim,RR Hendricks,1,0,1,13,,6,4,0,-,2.0,1,0,,,,field,Pakistan,1,Newlands,2019,02,South Africa_Pakistan_2019-02-01,South Africa,South Africa,Pakistan,True,192,Left hand Bat,Right hand Bat,Left arm Orthodox
8,RR Hendricks,Imad Wasim,GL Cloete,1,0,1,14,,8,5,0,-,3.0,1,0,,,,field,Pakistan,1,Newlands,2019,02,South Africa_Pakistan_2019-02-01,South Africa,South Africa,Pakistan,True,192,Right hand Bat,Left hand Bat,Left arm Orthodox
9,GL Cloete,Imad Wasim,RR Hendricks,4,0,4,18,,10,5,0,-,4.0,1,0,,,,field,Pakistan,1,Newlands,2019,02,South Africa_Pakistan_2019-02-01,South Africa,South Africa,Pakistan,True,192,Left hand Bat,Right hand Bat,Left arm Orthodox
10,GL Cloete,Imad Wasim,RR Hendricks,0,0,0,18,,10,6,0,-,5.0,1,0,,,,field,Pakistan,1,Newlands,2019,02,South Africa_Pakistan_2019-02-01,South Africa,South Africa,Pakistan,True,192,Left hand Bat,Right hand Bat,Left arm Orthodox
11,GL Cloete,Imad Wasim,RR Hendricks,1,0,1,19,,11,7,0,-,6.0,1,0,,,,field,Pakistan,1,Newlands,2019,02,South Africa_Pakistan_2019-02-01,South Africa,South Africa,Pakistan,True,192,Left hand Bat,Right hand Bat,Left arm Orthodox
12,GL Cloete,Hasan Ali,RR Hendricks,0,0,0,19,,11,8,0,-,1.0,2,0,,,,field,Pakistan,1,Newlands,2019,02,South Africa_Pakistan_2019-02-01,South Africa,South Africa,Pakistan,True,192,Left hand Bat,Right hand Bat,Right arm Medium
13,GL Cloete,Hasan Ali,RR Hendricks,1,0,1,20,,12,9,0,-,2.0,2,0,,,,field,Pakistan,1,Newlands,2019,02,South Africa_Pakistan_2019-02-01,South Africa,South Africa,Pakistan,True,192,Left hand Bat,Right hand Bat,Right arm Medium
