,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,Shahzaib Hasan,JA Morkel,Imran Farhat,0,0,0,0,81,0,1,0,1,1,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
1,Shahzaib Hasan,JA Morkel,Imran Farhat,0,0,0,0,81,0,2,0,2,1,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
2,Shahzaib Hasan,JA Morkel,Imran Farhat,4,0,4,4,77,4,3,0,3,1,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
3,Shahzaib Hasan,JA Morkel,Imran Farhat,1,0,1,5,76,5,4,0,4,1,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
4,Imran Farhat,JA Morkel,Shahzaib Hasan,2,0,2,7,74,2,1,0,5,1,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
5,Imran Farhat,JA Morkel,Shahzaib Hasan,0,0,0,7,74,2,2,0,6,1,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
6,Shahzaib Hasan,LL Tsotsobe,Imran Farhat,1,0,1,8,73,6,5,0,1,2,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
7,Imran Farhat,LL Tsotsobe,Shahzaib Hasan,0,0,0,8,73,2,3,0,2,2,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
8,Imran Farhat,LL Tsotsobe,Shahzaib Hasan,0,0,0,8,73,2,4,0,3,2,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
9,Imran Farhat,LL Tsotsobe,Shahzaib Hasan,1,0,1,9,72,3,5,0,4,2,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
10,Shahzaib Hasan,LL Tsotsobe,Imran Farhat,0,0,0,9,72,6,6,1,5,2,caught,Shahzaib Hasan,J Botha,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
11,Imran Farhat,LL Tsotsobe,Mohammad Hafeez,0,0,0,9,72,3,6,1,6,2,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
12,Mohammad Hafeez,JA Morkel,Imran Farhat,3,0,3,12,69,3,1,1,1,3,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
13,Imran Farhat,JA Morkel,Mohammad Hafeez,1,0,1,13,68,4,7,1,2,3,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
14,Mohammad Hafeez,JA Morkel,Imran Farhat,1,0,1,14,67,4,2,1,3,3,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
15,Imran Farhat,JA Morkel,Mohammad Hafeez,4,0,4,18,63,8,8,1,4,3,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
16,Imran Farhat,JA Morkel,Mohammad Hafeez,0,0,0,18,63,8,9,1,5,3,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
17,Imran Farhat,JA Morkel,Mohammad Hafeez,0,0,0,18,63,8,10,1,6,3,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
18,Mohammad Hafeez,LL Tsotsobe,Imran Farhat,0,0,0,18,63,4,3,1,1,4,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
19,Mohammad Hafeez,LL Tsotsobe,Imran Farhat,4,0,4,22,59,8,4,1,2,4,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
20,Mohammad Hafeez,LL Tsotsobe,Imran Farhat,4,0,4,26,55,12,5,1,3,4,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
21,Mohammad Hafeez,LL Tsotsobe,Imran Farhat,1,0,1,27,54,13,6,1,4,4,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
22,Imran Farhat,LL Tsotsobe,Mohammad Hafeez,1,0,1,28,53,9,11,1,5,4,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
23,Mohammad Hafeez,LL Tsotsobe,Imran Farhat,1,0,1,29,52,14,7,1,6,4,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
24,Mohammad Hafeez,M Morkel,Imran Farhat,0,0,0,29,52,14,8,1,1,5,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
25,Mohammad Hafeez,M Morkel,Imran Farhat,0,0,0,29,52,14,9,2,2,5,bowled,Mohammad Hafeez,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
26,Misbah-ul-Haq,M Morkel,Imran Farhat,0,0,0,29,52,0,1,2,3,5,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
27,Misbah-ul-Haq,M Morkel,Imran Farhat,0,0,0,29,52,0,2,2,4,5,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
28,Misbah-ul-Haq,M Morkel,Imran Farhat,0,0,0,29,52,0,3,2,5,5,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
29,Misbah-ul-Haq,M Morkel,Imran Farhat,0,0,0,29,52,0,4,2,6,5,0,,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
30,Imran Farhat,LL Tsotsobe,Misbah-ul-Haq,0,0,0,29,52,9,12,3,1,6,bowled,Imran Farhat,,-,bat,Pakistan,1,Sheikh Zayed Stadium,2010,10,Pakistan_South Africa_2010-10-27,South Africa,Pakistan,South Africa
