,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,Shubman Gill,JA Duffy,Ishan Kishan,0,0,0,0,99,0,1,0,-,1.0,0,0,,,,bat,New Zealand,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,India,New Zealand,True,101,Right hand Bat,Left hand Bat,Right arm Fast
1,Shubman Gill,JA Duffy,Ishan Kishan,3,0,3,3,96,3,2,0,-,2.0,0,0,,,,bat,New Zealand,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,India,New Zealand,True,101,Right hand Bat,Left hand Bat,Right arm Fast
2,Ishan Kishan,JA Duffy,Shubman Gill,0,0,0,3,96,0,1,0,-,3.0,0,0,,,,bat,New Zealand,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,India,New Zealand,True,101,Left hand Bat,Right hand Bat,Right arm Fast
3,Ishan Kishan,JA Duffy,Shubman Gill,0,0,0,3,96,0,2,0,-,4.0,0,0,,,,bat,New Zealand,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,India,New Zealand,True,101,Left hand Bat,Right hand Bat,Right arm Fast
4,Ishan Kishan,JA Duffy,Shubman Gill,1,0,1,4,95,1,3,0,-,5.0,0,0,,,,bat,New Zealand,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,India,New Zealand,True,101,Left hand Bat,Right hand Bat,Right arm Fast
5,Shubman Gill,JA Duffy,Ishan Kishan,4,0,4,8,91,7,3,0,-,6.0,0,0,,,,bat,New Zealand,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,India,New Zealand,True,101,Right hand Bat,Left hand Bat,Right arm Fast
6,Ishan Kishan,MG Bracewell,Shubman Gill,0,0,0,8,91,1,4,0,-,1.0,1,0,,,,bat,New Zealand,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,India,New Zealand,True,101,Left hand Bat,Right hand Bat,Right arm Offbreak
7,Ishan Kishan,MG Bracewell,Shubman Gill,0,0,0,8,91,1,5,0,-,2.0,1,0,,,,bat,New Zealand,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,India,New Zealand,True,101,Left hand Bat,Right hand Bat,Right arm Offbreak
8,Ishan Kishan,MG Bracewell,Shubman Gill,0,0,0,8,91,1,6,0,-,3.0,1,0,,,,bat,New Zealand,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,India,New Zealand,True,101,Left hand Bat,Right hand Bat,Right arm Offbreak
9,Ishan Kishan,MG Bracewell,Shubman Gill,1,0,1,9,90,2,7,0,-,4.0,1,0,,,,bat,New Zealand,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,India,New Zealand,True,101,Left hand Bat,Right hand Bat,Right arm Offbreak
10,Shubman Gill,MG Bracewell,Ishan Kishan,0,0,0,9,90,7,4,0,-,5.0,1,0,,,,bat,New Zealand,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,India,New Zealand,True,101,Right hand Bat,Left hand Bat,Right arm Offbreak
