,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,Q de Kock,SS Cottrell,RR Hendricks,0,0,0,0,220,0,1,0,1,1,-,0,,,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,03,West Indies_South Africa_2023-03-28,West Indies,South Africa,West Indies,213
1,Q de Kock,SS Cottrell,RR Hendricks,0,0,0,0,220,0,2,0,2,1,-,0,,,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,03,West Indies_South Africa_2023-03-28,West Indies,South Africa,West Indies,213
2,Q de Kock,SS Cottrell,RR Hendricks,0,0,0,0,220,0,3,0,3,1,-,0,,,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,03,West Indies_South Africa_2023-03-28,West Indies,South Africa,West Indies,213
3,Q de Kock,SS Cottrell,RR Hendricks,0,0,0,0,220,0,4,0,4,1,-,0,,,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,03,West Indies_South Africa_2023-03-28,West Indies,South Africa,West Indies,213
4,Q de Kock,SS Cottrell,RR Hendricks,0,0,0,0,220,0,5,0,5,1,-,0,,,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,03,West Indies_South Africa_2023-03-28,West Indies,South Africa,West Indies,213
5,Q de Kock,SS Cottrell,RR Hendricks,1,0,1,1,219,1,6,0,6,1,-,0,,,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,03,West Indies_South Africa_2023-03-28,West Indies,South Africa,West Indies,213
6,Q de Kock,RL Chase,RR Hendricks,0,0,0,1,219,1,7,0,1,2,-,0,,,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,03,West Indies_South Africa_2023-03-28,West Indies,South Africa,West Indies,213
7,Q de Kock,RL Chase,RR Hendricks,1,0,1,2,218,2,8,0,2,2,-,0,,,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,03,West Indies_South Africa_2023-03-28,West Indies,South Africa,West Indies,213
8,RR Hendricks,RL Chase,Q de Kock,4,0,4,6,214,4,1,0,3,2,-,0,,,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,03,West Indies_South Africa_2023-03-28,West Indies,South Africa,West Indies,213
9,RR Hendricks,RL Chase,Q de Kock,1,0,1,7,213,5,2,0,4,2,-,0,,,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,03,West Indies_South Africa_2023-03-28,West Indies,South Africa,West Indies,213
