,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,RR Rossouw,SJ Benn,MN van Wyk,0,0,0,0,,0,1,0,-,1.0,0,,,0,field,West Indies,1,New Wanderers Stadium,2015,01,South Africa_West Indies_2015-01-11,West Indies,South Africa,West Indies,False,231,Left hand Bat,Right hand Bat,Left arm Orthodox
1,RR Rossouw,SJ Benn,MN van Wyk,1,0,1,1,,1,2,0,-,2.0,0,,,0,field,West Indies,1,New Wanderers Stadium,2015,01,South Africa_West Indies_2015-01-11,West Indies,South Africa,West Indies,False,231,Left hand Bat,Right hand Bat,Left arm Orthodox
2,MN van Wyk,SJ Benn,RR Rossouw,0,0,0,1,,0,1,0,-,3.0,0,,,0,field,West Indies,1,New Wanderers Stadium,2015,01,South Africa_West Indies_2015-01-11,West Indies,South Africa,West Indies,False,231,Right hand Bat,Left hand Bat,Left arm Orthodox
3,MN van Wyk,SJ Benn,RR Rossouw,4,0,4,5,,4,2,0,-,4.0,0,,,0,field,West Indies,1,New Wanderers Stadium,2015,01,South Africa_West Indies_2015-01-11,West Indies,South Africa,West Indies,False,231,Right hand Bat,Left hand Bat,Left arm Orthodox
4,MN van Wyk,SJ Benn,RR Rossouw,0,0,0,5,,4,3,1,-,5.0,caught,MN van Wyk,KA Pollard,0,field,West Indies,1,New Wanderers Stadium,2015,01,South Africa_West Indies_2015-01-11,West Indies,South Africa,West Indies,False,231,Right hand Bat,Left hand Bat,Left arm Orthodox
5,F du Plessis,SJ Benn,RR Rossouw,0,0,0,5,,0,1,1,-,6.0,0,,,0,field,West Indies,1,New Wanderers Stadium,2015,01,South Africa_West Indies_2015-01-11,West Indies,South Africa,West Indies,False,231,Right hand Bat,Left hand Bat,Left arm Orthodox
6,RR Rossouw,SS Cottrell,F du Plessis,0,0,0,5,,1,3,1,-,1.0,0,,,1,field,West Indies,1,New Wanderers Stadium,2015,01,South Africa_West Indies_2015-01-11,West Indies,South Africa,West Indies,False,231,Left hand Bat,Right hand Bat,Left arm Fast
7,RR Rossouw,SS Cottrell,F du Plessis,6,0,6,11,,7,4,1,-,2.0,0,,,1,field,West Indies,1,New Wanderers Stadium,2015,01,South Africa_West Indies_2015-01-11,West Indies,South Africa,West Indies,False,231,Left hand Bat,Right hand Bat,Left arm Fast
8,RR Rossouw,SS Cottrell,F du Plessis,0,0,0,11,,7,5,1,-,3.0,0,,,1,field,West Indies,1,New Wanderers Stadium,2015,01,South Africa_West Indies_2015-01-11,West Indies,South Africa,West Indies,False,231,Left hand Bat,Right hand Bat,Left arm Fast
9,RR Rossouw,SS Cottrell,F du Plessis,6,0,6,17,,13,6,1,-,4.0,0,,,1,field,West Indies,1,New Wanderers Stadium,2015,01,South Africa_West Indies_2015-01-11,West Indies,South Africa,West Indies,False,231,Left hand Bat,Right hand Bat,Left arm Fast
10,RR Rossouw,SS Cottrell,F du Plessis,0,0,0,17,,13,7,1,-,5.0,0,,,1,field,West Indies,1,New Wanderers Stadium,2015,01,South Africa_West Indies_2015-01-11,West Indies,South Africa,West Indies,False,231,Left hand Bat,Right hand Bat,Left arm Fast
11,RR Rossouw,SS Cottrell,F du Plessis,2,0,2,19,,15,8,1,-,6.0,0,,,1,field,West Indies,1,New Wanderers Stadium,2015,01,South Africa_West Indies_2015-01-11,West Indies,South Africa,West Indies,False,231,Left hand Bat,Right hand Bat,Left arm Fast
