,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,Kamran Akmal,R Ashwin,Ahmed Shehzad,0,0,0,0,,0,1,0,-,1.0,0,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,,Right hand Bat,Right arm Offbreak
1,Kamran Akmal,R Ashwin,Ahmed Shehzad,0,0,0,0,,0,2,0,-,2.0,0,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,,Right hand Bat,Right arm Offbreak
2,Kamran Akmal,R Ashwin,Ahmed Shehzad,4,0,4,4,,4,3,0,-,3.0,0,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,,Right hand Bat,Right arm Offbreak
3,Kamran Akmal,R Ashwin,Ahmed Shehzad,0,0,0,4,,4,4,0,-,4.0,0,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,,Right hand Bat,Right arm Offbreak
4,Kamran Akmal,R Ashwin,Ahmed Shehzad,0,0,0,4,,4,5,0,-,5.0,0,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,,Right hand Bat,Right arm Offbreak
5,Kamran Akmal,R Ashwin,Ahmed Shehzad,0,0,0,4,,4,6,0,-,6.0,0,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,,Right hand Bat,Right arm Offbreak
6,Ahmed Shehzad,B Kumar,Kamran Akmal,1,0,1,5,,1,1,0,-,1.0,1,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,,Right arm Medium
7,Kamran Akmal,B Kumar,Ahmed Shehzad,0,0,0,5,,4,7,0,-,2.0,1,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,,Right hand Bat,Right arm Medium
8,Kamran Akmal,B Kumar,Ahmed Shehzad,0,0,0,5,,4,8,0,-,3.0,1,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,,Right hand Bat,Right arm Medium
9,Kamran Akmal,B Kumar,Ahmed Shehzad,4,0,4,9,,8,9,0,-,4.0,1,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,,Right hand Bat,Right arm Medium
10,Kamran Akmal,B Kumar,Ahmed Shehzad,0,0,0,9,,8,10,1,-,5.0,1,run out,Kamran Akmal,B Kumar,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,,Right hand Bat,Right arm Medium
11,Mohammad Hafeez,B Kumar,Ahmed Shehzad,0,0,0,9,,0,1,1,-,6.0,1,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Medium
12,Ahmed Shehzad,R Ashwin,Mohammad Hafeez,0,0,0,9,,1,2,1,-,1.0,2,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Offbreak
13,Ahmed Shehzad,R Ashwin,Mohammad Hafeez,1,0,1,10,,2,3,1,-,2.0,2,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Offbreak
14,Mohammad Hafeez,R Ashwin,Ahmed Shehzad,0,0,0,10,,0,2,1,-,3.0,2,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Offbreak
15,Mohammad Hafeez,R Ashwin,Ahmed Shehzad,0,0,0,10,,0,3,1,-,4.0,2,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Offbreak
16,Mohammad Hafeez,R Ashwin,Ahmed Shehzad,1,0,1,11,,1,4,1,-,5.0,2,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Offbreak
17,Ahmed Shehzad,R Ashwin,Mohammad Hafeez,4,0,4,15,,6,4,1,-,6.0,2,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Offbreak
18,Mohammad Hafeez,Mohammed Shami,Ahmed Shehzad,0,0,0,15,,1,5,1,-,1.0,3,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Fast
19,Mohammad Hafeez,Mohammed Shami,Ahmed Shehzad,0,0,0,15,,1,6,1,-,2.0,3,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Fast
20,Mohammad Hafeez,Mohammed Shami,Ahmed Shehzad,1,0,1,16,,2,7,1,-,3.0,3,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Fast
21,Ahmed Shehzad,Mohammed Shami,Mohammad Hafeez,1,0,1,17,,7,5,1,-,4.0,3,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Fast
22,Mohammad Hafeez,Mohammed Shami,Ahmed Shehzad,0,0,0,17,,2,8,1,-,5.0,3,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Fast
23,Mohammad Hafeez,Mohammed Shami,Ahmed Shehzad,0,0,0,17,,2,9,1,-,6.0,3,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Fast
24,Ahmed Shehzad,B Kumar,Mohammad Hafeez,0,0,0,17,,7,6,1,-,1.0,4,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Medium
25,Ahmed Shehzad,B Kumar,Mohammad Hafeez,0,1,1,18,,7,7,1,wides,1.0,4,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Medium
26,Ahmed Shehzad,B Kumar,Mohammad Hafeez,1,0,1,19,,8,8,1,-,2.0,4,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Medium
27,Mohammad Hafeez,B Kumar,Ahmed Shehzad,0,0,0,19,,2,10,1,-,3.0,4,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Medium
28,Mohammad Hafeez,B Kumar,Ahmed Shehzad,0,0,0,19,,2,11,1,-,4.0,4,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Medium
29,Mohammad Hafeez,B Kumar,Ahmed Shehzad,2,0,2,21,,4,12,1,-,5.0,4,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Medium
30,Mohammad Hafeez,B Kumar,Ahmed Shehzad,1,0,1,22,,5,13,1,-,6.0,4,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Medium
31,Mohammad Hafeez,Mohammed Shami,Ahmed Shehzad,1,0,1,23,,6,14,1,-,1.0,5,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Fast
32,Ahmed Shehzad,Mohammed Shami,Mohammad Hafeez,4,0,4,27,,12,9,1,-,2.0,5,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Fast
33,Ahmed Shehzad,Mohammed Shami,Mohammad Hafeez,1,0,1,28,,13,10,1,-,3.0,5,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Fast
34,Mohammad Hafeez,Mohammed Shami,Ahmed Shehzad,0,0,0,28,,6,15,1,-,4.0,5,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Fast
35,Mohammad Hafeez,Mohammed Shami,Ahmed Shehzad,4,0,4,32,,10,16,1,-,5.0,5,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Fast
36,Mohammad Hafeez,Mohammed Shami,Ahmed Shehzad,2,0,2,34,,12,17,1,-,6.0,5,0,,,field,India,1,Shere Bangla National Stadium,2014,03,India_Pakistan_2014-03-21,India,Pakistan,India,False,130,Right hand Bat,Right hand Bat,Right arm Fast
