,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,GC Smith,DE Bollinger,HM Amla,0,1,1,1,158,0,1,0,1,wides,0,,,1,bat,South Africa,1,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,South Africa,Australia,146
1,GC Smith,DE Bollinger,HM Amla,0,0,0,1,158,0,2,0,2,-,0,,,1,bat,South Africa,1,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,South Africa,Australia,146
2,GC Smith,DE Bollinger,HM Amla,0,0,0,1,158,0,3,0,3,-,0,,,1,bat,South Africa,1,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,South Africa,Australia,146
3,GC Smith,DE Bollinger,HM Amla,0,0,0,1,158,0,4,0,4,-,0,,,1,bat,South Africa,1,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,South Africa,Australia,146
4,GC Smith,DE Bollinger,HM Amla,0,0,0,1,158,0,5,0,5,-,0,,,1,bat,South Africa,1,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,South Africa,Australia,146
5,GC Smith,DE Bollinger,HM Amla,0,0,0,1,158,0,6,0,6,-,0,,,1,bat,South Africa,1,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,South Africa,Australia,146
6,GC Smith,DE Bollinger,HM Amla,0,1,1,2,157,0,7,0,7,wides,0,,,1,bat,South Africa,1,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,South Africa,Australia,146
7,GC Smith,DE Bollinger,HM Amla,0,0,0,2,157,0,8,1,8,-,bowled,GC Smith,,1,bat,South Africa,1,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,South Africa,Australia,146
8,HM Amla,PJ Cummins,CA Ingram,2,0,2,4,155,2,1,1,1,-,0,,,2,bat,South Africa,1,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,South Africa,Australia,146
9,HM Amla,PJ Cummins,CA Ingram,0,0,0,4,155,2,2,1,2,-,0,,,2,bat,South Africa,1,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,South Africa,Australia,146
10,HM Amla,PJ Cummins,CA Ingram,0,0,0,4,155,2,3,1,3,-,0,,,2,bat,South Africa,1,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,South Africa,Australia,146
11,HM Amla,PJ Cummins,CA Ingram,0,0,0,4,155,2,4,1,4,-,0,,,2,bat,South Africa,1,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,South Africa,Australia,146
12,HM Amla,PJ Cummins,CA Ingram,1,0,1,5,154,3,5,1,5,-,0,,,2,bat,South Africa,1,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,South Africa,Australia,146
13,CA Ingram,PJ Cummins,HM Amla,1,0,1,6,153,1,1,1,6,-,0,,,2,bat,South Africa,1,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,South Africa,Australia,146
14,CA Ingram,DE Bollinger,HM Amla,1,0,1,7,152,2,2,1,1,-,0,,,3,bat,South Africa,1,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,South Africa,Australia,146
15,HM Amla,DE Bollinger,CA Ingram,1,0,1,8,151,4,6,1,2,-,0,,,3,bat,South Africa,1,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,South Africa,Australia,146
16,CA Ingram,DE Bollinger,HM Amla,0,0,0,8,151,2,3,1,3,-,0,,,3,bat,South Africa,1,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,South Africa,Australia,146
17,CA Ingram,DE Bollinger,HM Amla,0,0,0,8,151,2,4,1,4,-,0,,,3,bat,South Africa,1,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,South Africa,Australia,146
18,CA Ingram,DE Bollinger,HM Amla,0,0,0,8,151,2,5,1,5,-,0,,,3,bat,South Africa,1,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,South Africa,Australia,146
19,CA Ingram,DE Bollinger,HM Amla,2,0,2,10,149,4,6,2,6,-,run out,HM Amla,DA Warner;MS Wade,3,bat,South Africa,1,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,South Africa,Australia,146
