,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,FH Allen,Mohammad Saifuddin,DP Conway,0,1,1,1,129,0,1,0,1,wides,1,0,,,field,Bangladesh,1,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,New Zealand,Bangladesh
1,FH Allen,Mohammad Saifuddin,DP Conway,2,0,2,3,127,2,2,0,2,-,1,0,,,field,Bangladesh,1,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,New Zealand,Bangladesh
2,FH Allen,Mohammad Saifuddin,DP Conway,0,0,0,3,127,2,3,0,3,-,1,0,,,field,Bangladesh,1,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,New Zealand,Bangladesh
3,FH Allen,Mohammad Saifuddin,DP Conway,0,0,0,3,127,2,4,0,4,-,1,0,,,field,Bangladesh,1,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,New Zealand,Bangladesh
4,FH Allen,Mohammad Saifuddin,DP Conway,4,0,4,7,123,6,5,0,5,-,1,0,,,field,Bangladesh,1,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,New Zealand,Bangladesh
5,FH Allen,Mohammad Saifuddin,DP Conway,1,0,1,8,122,7,6,0,6,-,1,0,,,field,Bangladesh,1,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,New Zealand,Bangladesh
6,DP Conway,Mohammad Saifuddin,FH Allen,0,0,0,8,122,0,1,0,7,-,1,0,,,field,Bangladesh,1,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,New Zealand,Bangladesh
7,FH Allen,Shoriful Islam,DP Conway,0,0,0,8,122,7,7,0,1,-,2,0,,,field,Bangladesh,1,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,New Zealand,Bangladesh
8,FH Allen,Shoriful Islam,DP Conway,4,0,4,12,118,11,8,0,2,-,2,0,,,field,Bangladesh,1,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,New Zealand,Bangladesh
9,FH Allen,Shoriful Islam,DP Conway,0,0,0,12,118,11,9,0,3,-,2,0,,,field,Bangladesh,1,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,New Zealand,Bangladesh
10,FH Allen,Shoriful Islam,DP Conway,0,1,1,13,117,11,10,0,4,legbyes,2,0,,,field,Bangladesh,1,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,New Zealand,Bangladesh
11,DP Conway,Shoriful Islam,FH Allen,4,0,4,17,113,4,2,0,5,-,2,0,,,field,Bangladesh,1,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,New Zealand,Bangladesh
12,DP Conway,Shoriful Islam,FH Allen,0,0,0,17,113,4,3,0,6,-,2,0,,,field,Bangladesh,1,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,New Zealand,Bangladesh
13,FH Allen,Ebadat Hossain,DP Conway,0,0,0,17,113,11,11,0,1,-,3,0,,,field,Bangladesh,1,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,New Zealand,Bangladesh
14,FH Allen,Ebadat Hossain,DP Conway,0,0,0,17,113,11,12,0,2,-,3,0,,,field,Bangladesh,1,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,New Zealand,Bangladesh
15,FH Allen,Ebadat Hossain,DP Conway,6,0,6,23,107,17,13,0,3,-,3,0,,,field,Bangladesh,1,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,New Zealand,Bangladesh
