,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,Babar Azam,RJW Topley,Mohammad Haris,0,1,1,1,144,0,1,0,1,wides,1,0,,,,field,England,1,"Gaddafi Stadium, Lahore",2022,09,Pakistan_England_2022-09-30,England,Pakistan,England,169
1,Babar Azam,RJW Topley,Mohammad Haris,1,0,1,2,143,1,2,0,2,-,1,0,,,,field,England,1,"Gaddafi Stadium, Lahore",2022,09,Pakistan_England_2022-09-30,England,Pakistan,England,169
2,Mohammad Haris,RJW Topley,Babar Azam,0,0,0,2,143,0,1,0,3,-,1,0,,,,field,England,1,"Gaddafi Stadium, Lahore",2022,09,Pakistan_England_2022-09-30,England,Pakistan,England,169
3,Mohammad Haris,RJW Topley,Babar Azam,0,0,0,2,143,0,2,0,4,-,1,0,,,,field,England,1,"Gaddafi Stadium, Lahore",2022,09,Pakistan_England_2022-09-30,England,Pakistan,England,169
4,Mohammad Haris,RJW Topley,Babar Azam,0,0,0,2,143,0,3,0,5,-,1,0,,,,field,England,1,"Gaddafi Stadium, Lahore",2022,09,Pakistan_England_2022-09-30,England,Pakistan,England,169
5,Mohammad Haris,RJW Topley,Babar Azam,0,0,0,2,143,0,4,0,6,-,1,0,,,,field,England,1,"Gaddafi Stadium, Lahore",2022,09,Pakistan_England_2022-09-30,England,Pakistan,England,169
6,Mohammad Haris,RJW Topley,Babar Azam,0,0,0,2,143,0,5,0,7,-,1,0,,,,field,England,1,"Gaddafi Stadium, Lahore",2022,09,Pakistan_England_2022-09-30,England,Pakistan,England,169
7,Babar Azam,DJ Willey,Mohammad Haris,0,0,0,2,143,1,3,0,1,-,2,0,,,,field,England,1,"Gaddafi Stadium, Lahore",2022,09,Pakistan_England_2022-09-30,England,Pakistan,England,169
8,Babar Azam,DJ Willey,Mohammad Haris,0,0,0,2,143,1,4,0,2,-,2,0,,,,field,England,1,"Gaddafi Stadium, Lahore",2022,09,Pakistan_England_2022-09-30,England,Pakistan,England,169
9,Babar Azam,DJ Willey,Mohammad Haris,0,0,0,2,143,1,5,0,3,-,2,0,,,,field,England,1,"Gaddafi Stadium, Lahore",2022,09,Pakistan_England_2022-09-30,England,Pakistan,England,169
