,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,MJ Guptill,SL Malinga,C Munro,0,0,0,0,,0,1,0,-,1.0,0,,,0,field,Sri Lanka,1,Eden Park,2019,01,New Zealand_Sri Lanka_2019-01-11,New Zealand,New Zealand,Sri Lanka,True,179,Right hand Bat,Left hand Bat,Right arm Fast
1,MJ Guptill,SL Malinga,C Munro,1,0,1,1,,1,2,0,-,2.0,0,,,0,field,Sri Lanka,1,Eden Park,2019,01,New Zealand_Sri Lanka_2019-01-11,New Zealand,New Zealand,Sri Lanka,True,179,Right hand Bat,Left hand Bat,Right arm Fast
2,C Munro,SL Malinga,MJ Guptill,1,0,1,2,,1,1,0,-,3.0,0,,,0,field,Sri Lanka,1,Eden Park,2019,01,New Zealand_Sri Lanka_2019-01-11,New Zealand,New Zealand,Sri Lanka,True,179,Left hand Bat,Right hand Bat,Right arm Fast
3,MJ Guptill,SL Malinga,C Munro,0,0,0,2,,1,3,1,-,4.0,caught,MJ Guptill,BKG Mendis,0,field,Sri Lanka,1,Eden Park,2019,01,New Zealand_Sri Lanka_2019-01-11,New Zealand,New Zealand,Sri Lanka,True,179,Right hand Bat,Left hand Bat,Right arm Fast
4,C Munro,SL Malinga,TL Seifert,0,1,1,3,,1,1,1,wides,4.0,0,,,0,field,Sri Lanka,1,Eden Park,2019,01,New Zealand_Sri Lanka_2019-01-11,New Zealand,New Zealand,Sri Lanka,True,179,Left hand Bat,Right hand Bat,Right arm Fast
5,C Munro,SL Malinga,TL Seifert,6,0,6,9,,7,2,1,-,5.0,0,,,0,field,Sri Lanka,1,Eden Park,2019,01,New Zealand_Sri Lanka_2019-01-11,New Zealand,New Zealand,Sri Lanka,True,179,Left hand Bat,Right hand Bat,Right arm Fast
6,C Munro,SL Malinga,TL Seifert,0,0,0,9,,7,3,1,-,6.0,0,,,0,field,Sri Lanka,1,Eden Park,2019,01,New Zealand_Sri Lanka_2019-01-11,New Zealand,New Zealand,Sri Lanka,True,179,Left hand Bat,Right hand Bat,Right arm Fast
7,TL Seifert,CAK Rajitha,C Munro,2,0,2,11,,2,1,1,-,1.0,0,,,1,field,Sri Lanka,1,Eden Park,2019,01,New Zealand_Sri Lanka_2019-01-11,New Zealand,New Zealand,Sri Lanka,True,179,Right hand Bat,Left hand Bat,Right arm Medium
8,TL Seifert,CAK Rajitha,C Munro,0,0,0,11,,2,2,1,-,2.0,0,,,1,field,Sri Lanka,1,Eden Park,2019,01,New Zealand_Sri Lanka_2019-01-11,New Zealand,New Zealand,Sri Lanka,True,179,Right hand Bat,Left hand Bat,Right arm Medium
9,TL Seifert,CAK Rajitha,C Munro,0,0,0,11,,2,3,2,-,3.0,caught,TL Seifert,PADLR Sandakan,1,field,Sri Lanka,1,Eden Park,2019,01,New Zealand_Sri Lanka_2019-01-11,New Zealand,New Zealand,Sri Lanka,True,179,Right hand Bat,Left hand Bat,Right arm Medium
10,HM Nicholls,CAK Rajitha,C Munro,0,0,0,11,,0,1,2,-,4.0,0,,,1,field,Sri Lanka,1,Eden Park,2019,01,New Zealand_Sri Lanka_2019-01-11,New Zealand,New Zealand,Sri Lanka,True,179,Left hand Bat,Left hand Bat,Right arm Medium
11,HM Nicholls,CAK Rajitha,C Munro,0,1,1,12,,0,1,2,wides,4.0,0,,,1,field,Sri Lanka,1,Eden Park,2019,01,New Zealand_Sri Lanka_2019-01-11,New Zealand,New Zealand,Sri Lanka,True,179,Left hand Bat,Left hand Bat,Right arm Medium
12,HM Nicholls,CAK Rajitha,C Munro,0,0,0,12,,0,2,2,-,5.0,0,,,1,field,Sri Lanka,1,Eden Park,2019,01,New Zealand_Sri Lanka_2019-01-11,New Zealand,New Zealand,Sri Lanka,True,179,Left hand Bat,Left hand Bat,Right arm Medium
13,HM Nicholls,CAK Rajitha,C Munro,1,0,1,13,,1,3,2,-,6.0,0,,,1,field,Sri Lanka,1,Eden Park,2019,01,New Zealand_Sri Lanka_2019-01-11,New Zealand,New Zealand,Sri Lanka,True,179,Left hand Bat,Left hand Bat,Right arm Medium
14,HM Nicholls,SL Malinga,C Munro,1,0,1,14,,2,4,2,-,1.0,0,,,2,field,Sri Lanka,1,Eden Park,2019,01,New Zealand_Sri Lanka_2019-01-11,New Zealand,New Zealand,Sri Lanka,True,179,Left hand Bat,Left hand Bat,Right arm Fast
15,C Munro,SL Malinga,HM Nicholls,4,0,4,18,,11,4,2,-,2.0,0,,,2,field,Sri Lanka,1,Eden Park,2019,01,New Zealand_Sri Lanka_2019-01-11,New Zealand,New Zealand,Sri Lanka,True,179,Left hand Bat,Left hand Bat,Right arm Fast
16,C Munro,SL Malinga,HM Nicholls,1,0,1,19,,12,5,2,-,3.0,0,,,2,field,Sri Lanka,1,Eden Park,2019,01,New Zealand_Sri Lanka_2019-01-11,New Zealand,New Zealand,Sri Lanka,True,179,Left hand Bat,Left hand Bat,Right arm Fast
17,HM Nicholls,SL Malinga,C Munro,2,0,2,21,,4,5,2,-,4.0,0,,,2,field,Sri Lanka,1,Eden Park,2019,01,New Zealand_Sri Lanka_2019-01-11,New Zealand,New Zealand,Sri Lanka,True,179,Left hand Bat,Left hand Bat,Right arm Fast
18,HM Nicholls,SL Malinga,C Munro,0,0,0,21,,4,6,3,-,5.0,bowled,HM Nicholls,,2,field,Sri Lanka,1,Eden Park,2019,01,New Zealand_Sri Lanka_2019-01-11,New Zealand,New Zealand,Sri Lanka,True,179,Left hand Bat,Left hand Bat,Right arm Fast
19,LRPL Taylor,SL Malinga,C Munro,1,0,1,22,,1,1,3,-,6.0,0,,,2,field,Sri Lanka,1,Eden Park,2019,01,New Zealand_Sri Lanka_2019-01-11,New Zealand,New Zealand,Sri Lanka,True,179,Right hand Bat,Left hand Bat,Right arm Fast
20,LRPL Taylor,CAK Rajitha,C Munro,1,0,1,23,,2,2,3,-,1.0,0,,,3,field,Sri Lanka,1,Eden Park,2019,01,New Zealand_Sri Lanka_2019-01-11,New Zealand,New Zealand,Sri Lanka,True,179,Right hand Bat,Left hand Bat,Right arm Medium
21,C Munro,CAK Rajitha,LRPL Taylor,4,0,4,27,,16,6,3,-,2.0,0,,,3,field,Sri Lanka,1,Eden Park,2019,01,New Zealand_Sri Lanka_2019-01-11,New Zealand,New Zealand,Sri Lanka,True,179,Left hand Bat,Right hand Bat,Right arm Medium
22,C Munro,CAK Rajitha,LRPL Taylor,0,0,0,27,,16,7,4,-,3.0,caught,C Munro,MD Shanaka,3,field,Sri Lanka,1,Eden Park,2019,01,New Zealand_Sri Lanka_2019-01-11,New Zealand,New Zealand,Sri Lanka,True,179,Left hand Bat,Right hand Bat,Right arm Medium
23,LRPL Taylor,CAK Rajitha,MJ Santner,0,0,0,27,,2,3,4,-,4.0,0,,,3,field,Sri Lanka,1,Eden Park,2019,01,New Zealand_Sri Lanka_2019-01-11,New Zealand,New Zealand,Sri Lanka,True,179,Right hand Bat,Left hand Bat,Right arm Medium
24,LRPL Taylor,CAK Rajitha,MJ Santner,0,0,0,27,,2,4,4,-,5.0,0,,,3,field,Sri Lanka,1,Eden Park,2019,01,New Zealand_Sri Lanka_2019-01-11,New Zealand,New Zealand,Sri Lanka,True,179,Right hand Bat,Left hand Bat,Right arm Medium
