,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,WU Tharanga,SE Bond,ST Jayasuriya,0,0,0,0,162,0,1,0,-,1.0,0,0,,,bat,New Zealand,2,Westpac Stadium,2006,12,New Zealand_Sri Lanka_2006-12-22,Sri Lanka,Sri Lanka,New Zealand,True,62
1,WU Tharanga,SE Bond,ST Jayasuriya,0,1,1,1,161,0,2,0,legbyes,2.0,0,0,,,bat,New Zealand,2,Westpac Stadium,2006,12,New Zealand_Sri Lanka_2006-12-22,Sri Lanka,Sri Lanka,New Zealand,True,62
2,ST Jayasuriya,SE Bond,WU Tharanga,4,0,4,5,157,4,1,0,-,3.0,0,0,,,bat,New Zealand,2,Westpac Stadium,2006,12,New Zealand_Sri Lanka_2006-12-22,Sri Lanka,Sri Lanka,New Zealand,True,62
3,ST Jayasuriya,SE Bond,WU Tharanga,4,0,4,9,153,8,2,0,-,4.0,0,0,,,bat,New Zealand,2,Westpac Stadium,2006,12,New Zealand_Sri Lanka_2006-12-22,Sri Lanka,Sri Lanka,New Zealand,True,62
4,ST Jayasuriya,SE Bond,WU Tharanga,0,0,0,9,153,8,3,0,-,5.0,0,0,,,bat,New Zealand,2,Westpac Stadium,2006,12,New Zealand_Sri Lanka_2006-12-22,Sri Lanka,Sri Lanka,New Zealand,True,62
5,ST Jayasuriya,SE Bond,WU Tharanga,0,0,0,9,153,8,4,0,-,6.0,0,0,,,bat,New Zealand,2,Westpac Stadium,2006,12,New Zealand_Sri Lanka_2006-12-22,Sri Lanka,Sri Lanka,New Zealand,True,62
6,WU Tharanga,JEC Franklin,ST Jayasuriya,0,0,0,9,153,0,3,0,-,1.0,1,0,,,bat,New Zealand,2,Westpac Stadium,2006,12,New Zealand_Sri Lanka_2006-12-22,Sri Lanka,Sri Lanka,New Zealand,True,62
7,WU Tharanga,JEC Franklin,ST Jayasuriya,1,0,1,10,152,1,4,0,-,2.0,1,0,,,bat,New Zealand,2,Westpac Stadium,2006,12,New Zealand_Sri Lanka_2006-12-22,Sri Lanka,Sri Lanka,New Zealand,True,62
8,ST Jayasuriya,JEC Franklin,WU Tharanga,0,1,1,11,151,8,5,0,wides,2.0,1,0,,,bat,New Zealand,2,Westpac Stadium,2006,12,New Zealand_Sri Lanka_2006-12-22,Sri Lanka,Sri Lanka,New Zealand,True,62
9,ST Jayasuriya,JEC Franklin,WU Tharanga,4,0,4,15,147,12,6,0,-,3.0,1,0,,,bat,New Zealand,2,Westpac Stadium,2006,12,New Zealand_Sri Lanka_2006-12-22,Sri Lanka,Sri Lanka,New Zealand,True,62
10,ST Jayasuriya,JEC Franklin,WU Tharanga,4,0,4,19,143,16,7,0,-,4.0,1,0,,,bat,New Zealand,2,Westpac Stadium,2006,12,New Zealand_Sri Lanka_2006-12-22,Sri Lanka,Sri Lanka,New Zealand,True,62
11,ST Jayasuriya,JEC Franklin,WU Tharanga,4,0,4,23,139,20,8,0,-,5.0,1,0,,,bat,New Zealand,2,Westpac Stadium,2006,12,New Zealand_Sri Lanka_2006-12-22,Sri Lanka,Sri Lanka,New Zealand,True,62
12,ST Jayasuriya,JEC Franklin,WU Tharanga,0,0,0,23,139,20,9,0,-,6.0,1,0,,,bat,New Zealand,2,Westpac Stadium,2006,12,New Zealand_Sri Lanka_2006-12-22,Sri Lanka,Sri Lanka,New Zealand,True,62
13,WU Tharanga,SE Bond,ST Jayasuriya,1,0,1,24,138,2,5,0,-,1.0,2,0,,,bat,New Zealand,2,Westpac Stadium,2006,12,New Zealand_Sri Lanka_2006-12-22,Sri Lanka,Sri Lanka,New Zealand,True,62
14,ST Jayasuriya,SE Bond,WU Tharanga,0,0,0,24,138,20,10,0,-,2.0,2,0,,,bat,New Zealand,2,Westpac Stadium,2006,12,New Zealand_Sri Lanka_2006-12-22,Sri Lanka,Sri Lanka,New Zealand,True,62
15,ST Jayasuriya,SE Bond,WU Tharanga,0,1,1,25,137,20,11,0,wides,2.0,2,0,,,bat,New Zealand,2,Westpac Stadium,2006,12,New Zealand_Sri Lanka_2006-12-22,Sri Lanka,Sri Lanka,New Zealand,True,62
16,ST Jayasuriya,SE Bond,WU Tharanga,0,0,0,25,137,20,12,0,-,3.0,2,0,,,bat,New Zealand,2,Westpac Stadium,2006,12,New Zealand_Sri Lanka_2006-12-22,Sri Lanka,Sri Lanka,New Zealand,True,62
