,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,YBK Jaiswal,M Jansen,Shubman Gill,0,0,0,0,185,0,1,0,1,-,0,,,0,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
1,YBK Jaiswal,M Jansen,Shubman Gill,0,0,0,0,185,0,2,0,2,-,0,,,0,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
2,YBK Jaiswal,M Jansen,Shubman Gill,0,0,0,0,185,0,3,1,3,-,caught,YBK Jaiswal,DA Miller,0,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
3,Tilak Varma,M Jansen,Shubman Gill,0,1,1,1,184,0,1,1,4,wides,0,,,0,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
4,Tilak Varma,M Jansen,Shubman Gill,0,0,0,1,184,0,2,1,5,-,0,,,0,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
5,Tilak Varma,M Jansen,Shubman Gill,0,0,0,1,184,0,3,1,6,-,0,,,0,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
6,Tilak Varma,M Jansen,Shubman Gill,0,1,1,2,183,0,4,1,7,wides,0,,,0,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
7,Tilak Varma,M Jansen,Shubman Gill,1,0,1,3,182,1,5,1,8,-,0,,,0,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
8,Tilak Varma,LB Williams,Shubman Gill,0,0,0,3,182,1,6,1,1,-,0,,,1,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
9,Tilak Varma,LB Williams,Shubman Gill,0,0,0,3,182,1,7,1,2,-,0,,,1,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
10,Tilak Varma,LB Williams,Shubman Gill,2,0,2,5,180,3,8,1,3,-,0,,,1,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
11,Tilak Varma,LB Williams,Shubman Gill,1,0,1,6,179,4,9,1,4,-,0,,,1,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
12,Shubman Gill,LB Williams,Tilak Varma,0,0,0,6,179,0,1,1,5,-,0,,,1,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
13,Shubman Gill,LB Williams,Tilak Varma,0,0,0,6,179,0,2,2,6,-,lbw,Shubman Gill,,1,"{'by': 'India', 'umpire': 'A Paleker', 'batter': 'Shubman Gill', 'decision': 'struck down', 'type': 'wicket'}",field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
14,Tilak Varma,M Jansen,SA Yadav,6,0,6,12,173,10,10,2,1,-,0,,,2,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
15,Tilak Varma,M Jansen,SA Yadav,0,0,0,12,173,10,11,2,2,-,0,,,2,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
16,Tilak Varma,M Jansen,SA Yadav,4,0,4,16,169,14,12,2,3,-,0,,,2,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
17,Tilak Varma,M Jansen,SA Yadav,0,0,0,16,169,14,13,2,4,-,0,,,2,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
18,Tilak Varma,M Jansen,SA Yadav,0,0,0,16,169,14,14,2,5,-,0,,,2,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
19,Tilak Varma,M Jansen,SA Yadav,4,1,5,21,164,18,15,2,6,noballs,0,,,2,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
20,Tilak Varma,M Jansen,SA Yadav,4,0,4,25,160,22,16,2,7,-,0,,,2,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
21,SA Yadav,G Coetzee,Tilak Varma,0,0,0,25,160,0,1,2,1,-,0,,,3,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
22,SA Yadav,G Coetzee,Tilak Varma,0,0,0,25,160,0,2,2,2,-,0,,,3,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
23,SA Yadav,G Coetzee,Tilak Varma,4,0,4,29,156,4,3,2,3,-,0,,,3,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
24,SA Yadav,G Coetzee,Tilak Varma,0,1,1,30,155,4,4,2,4,wides,0,,,3,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
25,SA Yadav,G Coetzee,Tilak Varma,0,0,0,30,155,4,5,2,5,-,0,,,3,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
26,SA Yadav,G Coetzee,Tilak Varma,6,0,6,36,149,10,6,2,6,-,0,,,3,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
27,SA Yadav,G Coetzee,Tilak Varma,4,0,4,40,145,14,7,2,7,-,0,,,3,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
28,Tilak Varma,LB Williams,SA Yadav,4,0,4,44,141,26,17,2,1,-,0,,,4,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
29,Tilak Varma,LB Williams,SA Yadav,1,0,1,45,140,27,18,2,2,-,0,,,4,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
30,SA Yadav,LB Williams,Tilak Varma,0,0,0,45,140,14,8,2,3,-,0,,,4,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
31,SA Yadav,LB Williams,Tilak Varma,1,0,1,46,139,15,9,2,4,-,0,,,4,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
32,Tilak Varma,LB Williams,SA Yadav,1,0,1,47,138,28,19,2,5,-,0,,,4,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
33,SA Yadav,LB Williams,Tilak Varma,6,0,6,53,132,21,10,2,6,-,0,,,4,,field,South Africa,1,"St George's Park, Gqeberha",2023,12,India_South Africa_2023-12-12,South Africa,India,South Africa,180
