,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,RG Sharma,O Thomas,S Dhawan,,4,0,4,4,91,4,1,0,1,-,0,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
1,RG Sharma,O Thomas,S Dhawan,,0,0,0,4,91,4,2,0,2,-,0,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
2,RG Sharma,O Thomas,S Dhawan,,0,1,1,5,90,4,3,0,3,wides,0,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
3,RG Sharma,O Thomas,S Dhawan,,1,0,1,6,89,5,4,0,4,-,0,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
4,S Dhawan,O Thomas,RG Sharma,,0,0,0,6,89,0,1,0,5,-,0,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
5,S Dhawan,O Thomas,RG Sharma,"{'by': 'West Indies', 'umpire': 'GO Brathwaite', 'batter': 'S Dhawan', 'decision': 'struck down'}",0,0,0,6,89,0,2,0,6,-,0,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
6,S Dhawan,O Thomas,RG Sharma,,0,0,0,6,89,0,3,0,7,-,0,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
7,RG Sharma,SS Cottrell,S Dhawan,,0,1,1,7,88,5,5,0,1,wides,1,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
8,RG Sharma,SS Cottrell,S Dhawan,,0,0,0,7,88,5,6,0,2,-,1,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
9,RG Sharma,SS Cottrell,S Dhawan,,0,0,0,7,88,5,7,0,3,-,1,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
10,RG Sharma,SS Cottrell,S Dhawan,,0,1,1,8,87,5,8,0,4,wides,1,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
11,RG Sharma,SS Cottrell,S Dhawan,,0,0,0,8,87,5,9,0,5,-,1,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
12,RG Sharma,SS Cottrell,S Dhawan,,0,0,0,8,87,5,10,0,6,-,1,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
13,RG Sharma,SS Cottrell,S Dhawan,,0,1,1,9,86,5,11,0,7,wides,1,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
14,RG Sharma,SS Cottrell,S Dhawan,,0,0,0,9,86,5,12,0,8,-,1,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
15,RG Sharma,SS Cottrell,S Dhawan,,0,0,0,9,86,5,13,0,9,-,1,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
16,S Dhawan,O Thomas,RG Sharma,,1,0,1,10,85,1,4,0,1,-,2,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
17,RG Sharma,O Thomas,S Dhawan,,4,0,4,14,81,9,14,0,2,-,2,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
18,RG Sharma,O Thomas,S Dhawan,,1,0,1,15,80,10,15,0,3,-,2,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
19,S Dhawan,O Thomas,RG Sharma,,1,0,1,16,79,2,5,0,4,-,2,0,,,bat,India,1,Central Broward Regional Park Stadium Turf Ground,2019,08,India_West Indies_2019-08-04,India,India,West Indies,167
