,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,TS Kamunhukamwe,AD Mathews,CR Ervine,0,0,0,0,140,0,1,0,1,0,-,0,,,,field,Sri Lanka,1,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Zimbabwe,Sri Lanka,143
1,TS Kamunhukamwe,AD Mathews,CR Ervine,0,0,0,0,140,0,2,0,2,0,-,0,,,,field,Sri Lanka,1,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Zimbabwe,Sri Lanka,143
2,TS Kamunhukamwe,AD Mathews,CR Ervine,0,0,0,0,140,0,3,0,3,0,-,0,,,,field,Sri Lanka,1,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Zimbabwe,Sri Lanka,143
3,TS Kamunhukamwe,AD Mathews,CR Ervine,1,0,1,1,139,1,4,0,4,0,-,0,,,,field,Sri Lanka,1,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Zimbabwe,Sri Lanka,143
4,CR Ervine,AD Mathews,TS Kamunhukamwe,0,0,0,1,139,0,1,0,5,0,-,0,,,,field,Sri Lanka,1,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Zimbabwe,Sri Lanka,143
5,CR Ervine,AD Mathews,TS Kamunhukamwe,0,0,0,1,139,0,2,0,6,0,-,0,,,,field,Sri Lanka,1,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Zimbabwe,Sri Lanka,143
6,TS Kamunhukamwe,N Thushara,CR Ervine,2,0,2,3,137,3,5,0,1,1,-,0,,,,field,Sri Lanka,1,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Zimbabwe,Sri Lanka,143
7,TS Kamunhukamwe,N Thushara,CR Ervine,0,0,0,3,137,3,6,0,2,1,-,0,,,,field,Sri Lanka,1,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Zimbabwe,Sri Lanka,143
8,TS Kamunhukamwe,N Thushara,CR Ervine,0,0,0,3,137,3,7,0,3,1,-,0,,,,field,Sri Lanka,1,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Zimbabwe,Sri Lanka,143
9,TS Kamunhukamwe,N Thushara,CR Ervine,0,0,0,3,137,3,8,0,4,1,-,0,,,,field,Sri Lanka,1,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Zimbabwe,Sri Lanka,143
10,TS Kamunhukamwe,N Thushara,CR Ervine,0,0,0,3,137,3,9,0,5,1,-,0,,,,field,Sri Lanka,1,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Zimbabwe,Sri Lanka,143
11,TS Kamunhukamwe,N Thushara,CR Ervine,2,0,2,5,135,5,10,0,6,1,-,0,,,,field,Sri Lanka,1,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Zimbabwe,Sri Lanka,143
12,CR Ervine,AD Mathews,TS Kamunhukamwe,1,0,1,6,134,1,3,0,1,2,-,0,,,,field,Sri Lanka,1,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Zimbabwe,Sri Lanka,143
13,TS Kamunhukamwe,AD Mathews,CR Ervine,1,0,1,7,133,6,11,0,2,2,-,0,,,,field,Sri Lanka,1,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Zimbabwe,Sri Lanka,143
14,CR Ervine,AD Mathews,TS Kamunhukamwe,0,0,0,7,133,1,4,0,3,2,-,0,,,,field,Sri Lanka,1,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Zimbabwe,Sri Lanka,143
15,CR Ervine,AD Mathews,TS Kamunhukamwe,4,0,4,11,129,5,5,0,4,2,-,0,,,,field,Sri Lanka,1,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Zimbabwe,Sri Lanka,143
16,CR Ervine,AD Mathews,TS Kamunhukamwe,0,1,1,12,128,5,6,0,5,2,legbyes,0,,,,field,Sri Lanka,1,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Zimbabwe,Sri Lanka,143
17,TS Kamunhukamwe,AD Mathews,CR Ervine,6,0,6,18,122,12,12,0,6,2,-,0,,,,field,Sri Lanka,1,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Zimbabwe,Sri Lanka,143
18,CR Ervine,M Theekshana,TS Kamunhukamwe,0,0,0,18,122,5,7,0,1,3,-,0,,,,field,Sri Lanka,1,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Zimbabwe,Sri Lanka,143
