,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,TM Dilshan,LL Tsotsobe,DPMD Jayawardene,0,0,0,0,163,0,1,0,1,0,-,0,,,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-06,Sri Lanka,Sri Lanka,South Africa,164
1,TM Dilshan,LL Tsotsobe,DPMD Jayawardene,0,0,0,0,163,0,2,0,2,0,-,0,,,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-06,Sri Lanka,Sri Lanka,South Africa,164
2,TM Dilshan,LL Tsotsobe,DPMD Jayawardene,0,0,0,0,163,0,3,0,3,0,-,0,,,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-06,Sri Lanka,Sri Lanka,South Africa,164
3,TM Dilshan,LL Tsotsobe,DPMD Jayawardene,6,0,6,6,157,6,4,0,4,0,-,0,,,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-06,Sri Lanka,Sri Lanka,South Africa,164
4,TM Dilshan,LL Tsotsobe,DPMD Jayawardene,4,0,4,10,153,10,5,0,5,0,-,0,,,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-06,Sri Lanka,Sri Lanka,South Africa,164
5,TM Dilshan,LL Tsotsobe,DPMD Jayawardene,4,0,4,14,149,14,6,0,6,0,-,0,,,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-06,Sri Lanka,Sri Lanka,South Africa,164
6,DPMD Jayawardene,M Morkel,TM Dilshan,4,0,4,18,145,4,1,0,1,1,-,0,,,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-06,Sri Lanka,Sri Lanka,South Africa,164
7,DPMD Jayawardene,M Morkel,TM Dilshan,4,0,4,22,141,8,2,0,2,1,-,0,,,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-06,Sri Lanka,Sri Lanka,South Africa,164
8,DPMD Jayawardene,M Morkel,TM Dilshan,4,0,4,26,137,12,3,0,3,1,-,0,,,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-06,Sri Lanka,Sri Lanka,South Africa,164
9,DPMD Jayawardene,M Morkel,TM Dilshan,0,0,0,26,137,12,4,0,4,1,-,0,,,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-06,Sri Lanka,Sri Lanka,South Africa,164
10,DPMD Jayawardene,M Morkel,TM Dilshan,0,0,0,26,137,12,5,0,5,1,-,0,,,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-06,Sri Lanka,Sri Lanka,South Africa,164
11,DPMD Jayawardene,M Morkel,TM Dilshan,2,0,2,28,135,14,6,0,6,1,-,0,,,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-06,Sri Lanka,Sri Lanka,South Africa,164
12,TM Dilshan,LL Tsotsobe,DPMD Jayawardene,0,0,0,28,135,14,7,0,1,2,-,0,,,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-06,Sri Lanka,Sri Lanka,South Africa,164
13,TM Dilshan,LL Tsotsobe,DPMD Jayawardene,4,0,4,32,131,18,8,0,2,2,-,0,,,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-06,Sri Lanka,Sri Lanka,South Africa,164
14,TM Dilshan,LL Tsotsobe,DPMD Jayawardene,0,0,0,32,131,18,9,0,3,2,-,0,,,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-06,Sri Lanka,Sri Lanka,South Africa,164
15,TM Dilshan,LL Tsotsobe,DPMD Jayawardene,0,0,0,32,131,18,10,0,4,2,-,0,,,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-06,Sri Lanka,Sri Lanka,South Africa,164
16,TM Dilshan,LL Tsotsobe,DPMD Jayawardene,2,0,2,34,129,20,11,0,5,2,-,0,,,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-06,Sri Lanka,Sri Lanka,South Africa,164
17,TM Dilshan,LL Tsotsobe,DPMD Jayawardene,2,0,2,36,127,22,12,0,6,2,-,0,,,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-06,Sri Lanka,Sri Lanka,South Africa,164
18,DPMD Jayawardene,WD Parnell,TM Dilshan,4,0,4,40,123,18,7,0,1,3,-,0,,,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-06,Sri Lanka,Sri Lanka,South Africa,164
19,DPMD Jayawardene,WD Parnell,TM Dilshan,1,0,1,41,122,19,8,0,2,3,-,0,,,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-06,Sri Lanka,Sri Lanka,South Africa,164
20,TM Dilshan,WD Parnell,DPMD Jayawardene,1,0,1,42,121,23,13,0,3,3,-,0,,,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-06,Sri Lanka,Sri Lanka,South Africa,164
21,DPMD Jayawardene,WD Parnell,TM Dilshan,4,0,4,46,117,23,9,0,4,3,-,0,,,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-06,Sri Lanka,Sri Lanka,South Africa,164
22,DPMD Jayawardene,WD Parnell,TM Dilshan,0,0,0,46,117,23,10,0,5,3,-,0,,,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-06,Sri Lanka,Sri Lanka,South Africa,164
23,DPMD Jayawardene,WD Parnell,TM Dilshan,1,0,1,47,116,24,11,0,6,3,-,0,,,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-06,Sri Lanka,Sri Lanka,South Africa,164
