,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,JJ Roy,B Stanlake,JC Buttler,4,0,4,4,114,4,1,0,1,0,-,0,,,,field,Australia,1,Edgbaston,2018,06,England_Australia_2018-06-27,England,England,Australia,221
1,JJ Roy,B Stanlake,JC Buttler,0,0,0,4,114,4,2,0,2,0,-,0,,,,field,Australia,1,Edgbaston,2018,06,England_Australia_2018-06-27,England,England,Australia,221
2,JJ Roy,B Stanlake,JC Buttler,4,0,4,8,110,8,3,0,3,0,-,0,,,,field,Australia,1,Edgbaston,2018,06,England_Australia_2018-06-27,England,England,Australia,221
3,JJ Roy,B Stanlake,JC Buttler,0,0,0,8,110,8,4,0,4,0,-,0,,,,field,Australia,1,Edgbaston,2018,06,England_Australia_2018-06-27,England,England,Australia,221
4,JJ Roy,B Stanlake,JC Buttler,4,0,4,12,106,12,5,0,5,0,-,0,,,,field,Australia,1,Edgbaston,2018,06,England_Australia_2018-06-27,England,England,Australia,221
5,JJ Roy,B Stanlake,JC Buttler,1,0,1,13,105,13,6,0,6,0,-,0,,,,field,Australia,1,Edgbaston,2018,06,England_Australia_2018-06-27,England,England,Australia,221
6,JJ Roy,AC Agar,JC Buttler,0,0,0,13,105,13,7,0,1,1,-,0,,,,field,Australia,1,Edgbaston,2018,06,England_Australia_2018-06-27,England,England,Australia,221
7,JJ Roy,AC Agar,JC Buttler,1,0,1,14,104,14,8,0,2,1,-,0,,,,field,Australia,1,Edgbaston,2018,06,England_Australia_2018-06-27,England,England,Australia,221
8,JC Buttler,AC Agar,JJ Roy,1,0,1,15,103,1,1,0,3,1,-,0,,,,field,Australia,1,Edgbaston,2018,06,England_Australia_2018-06-27,England,England,Australia,221
9,JJ Roy,AC Agar,JC Buttler,1,0,1,16,102,15,9,0,4,1,-,0,,,,field,Australia,1,Edgbaston,2018,06,England_Australia_2018-06-27,England,England,Australia,221
10,JC Buttler,AC Agar,JJ Roy,0,0,0,16,102,1,2,0,5,1,-,0,,,,field,Australia,1,Edgbaston,2018,06,England_Australia_2018-06-27,England,England,Australia,221
11,JC Buttler,AC Agar,JJ Roy,1,0,1,17,101,2,3,0,6,1,-,0,,,,field,Australia,1,Edgbaston,2018,06,England_Australia_2018-06-27,England,England,Australia,221
12,JC Buttler,MJ Swepson,JJ Roy,0,0,0,17,101,2,4,0,1,2,-,0,,,,field,Australia,1,Edgbaston,2018,06,England_Australia_2018-06-27,England,England,Australia,221
13,JC Buttler,MJ Swepson,JJ Roy,4,0,4,21,97,6,5,0,2,2,-,0,,,,field,Australia,1,Edgbaston,2018,06,England_Australia_2018-06-27,England,England,Australia,221
14,JC Buttler,MJ Swepson,JJ Roy,1,0,1,22,96,7,6,0,3,2,-,0,,,,field,Australia,1,Edgbaston,2018,06,England_Australia_2018-06-27,England,England,Australia,221
15,JJ Roy,MJ Swepson,JC Buttler,4,0,4,26,92,19,10,0,4,2,-,0,,,,field,Australia,1,Edgbaston,2018,06,England_Australia_2018-06-27,England,England,Australia,221
16,JJ Roy,MJ Swepson,JC Buttler,1,0,1,27,91,20,11,0,5,2,-,0,,,,field,Australia,1,Edgbaston,2018,06,England_Australia_2018-06-27,England,England,Australia,221
17,JC Buttler,MJ Swepson,JJ Roy,6,0,6,33,85,13,7,0,6,2,-,0,,,,field,Australia,1,Edgbaston,2018,06,England_Australia_2018-06-27,England,England,Australia,221
