,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,BA King,MM Ali,KR Mayers,0,0,0,0,267,0,1,1,-,1.0,caught,BA King,RJW Topley,0,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Right hand Bat,Left hand Bat,Right arm Offbreak
1,N Pooran,MM Ali,KR Mayers,0,0,0,0,267,0,1,1,-,2.0,0,,,0,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Left hand Bat,Right arm Offbreak
2,N Pooran,MM Ali,KR Mayers,4,0,4,4,263,4,2,1,-,3.0,0,,,0,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Left hand Bat,Right arm Offbreak
3,N Pooran,MM Ali,KR Mayers,4,0,4,8,259,8,3,1,-,4.0,0,,,0,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Left hand Bat,Right arm Offbreak
4,N Pooran,MM Ali,KR Mayers,6,0,6,14,253,14,4,1,-,5.0,0,,,0,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Left hand Bat,Right arm Offbreak
5,N Pooran,MM Ali,KR Mayers,6,0,6,20,247,20,5,1,-,6.0,0,,,0,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Left hand Bat,Right arm Offbreak
6,KR Mayers,RJW Topley,N Pooran,2,0,2,22,245,2,1,1,-,1.0,0,,,1,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Left hand Bat,Left arm Fast
7,KR Mayers,RJW Topley,N Pooran,0,0,0,22,245,2,2,1,-,2.0,0,,,1,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Left hand Bat,Left arm Fast
8,KR Mayers,RJW Topley,N Pooran,4,0,4,26,241,6,3,1,-,3.0,0,,,1,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Left hand Bat,Left arm Fast
9,KR Mayers,RJW Topley,N Pooran,6,0,6,32,235,12,4,1,-,4.0,0,,,1,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,West Indies,England,False,192,Left hand Bat,Left hand Bat,Left arm Fast
