,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,KL Rahul,D Madushanka,RG Sharma,1,0,1,1,180,1,1,0,1,-,1,,0,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,India_Sri Lanka_2022-09-06,Sri Lanka,India,Sri Lanka,173
1,RG Sharma,D Madushanka,KL Rahul,0,1,1,2,179,0,1,0,2,wides,1,,0,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,India_Sri Lanka_2022-09-06,Sri Lanka,India,Sri Lanka,173
2,RG Sharma,D Madushanka,KL Rahul,0,0,0,2,179,0,2,0,3,-,1,,0,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,India_Sri Lanka_2022-09-06,Sri Lanka,India,Sri Lanka,173
3,RG Sharma,D Madushanka,KL Rahul,1,0,1,3,178,1,3,0,4,-,1,,0,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,India_Sri Lanka_2022-09-06,Sri Lanka,India,Sri Lanka,173
4,KL Rahul,D Madushanka,RG Sharma,0,1,1,4,177,1,2,0,5,wides,1,,0,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,India_Sri Lanka_2022-09-06,Sri Lanka,India,Sri Lanka,173
5,KL Rahul,D Madushanka,RG Sharma,0,0,0,4,177,1,3,0,6,-,1,,0,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,India_Sri Lanka_2022-09-06,Sri Lanka,India,Sri Lanka,173
6,KL Rahul,D Madushanka,RG Sharma,0,0,0,4,177,1,4,0,7,-,1,,0,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,India_Sri Lanka_2022-09-06,Sri Lanka,India,Sri Lanka,173
7,KL Rahul,D Madushanka,RG Sharma,0,0,0,4,177,1,5,0,8,-,1,,0,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,India_Sri Lanka_2022-09-06,Sri Lanka,India,Sri Lanka,173
8,RG Sharma,M Theekshana,KL Rahul,1,0,1,5,176,2,4,0,1,-,2,,0,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,India_Sri Lanka_2022-09-06,Sri Lanka,India,Sri Lanka,173
9,KL Rahul,M Theekshana,RG Sharma,1,0,1,6,175,2,6,0,2,-,2,,0,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,India_Sri Lanka_2022-09-06,Sri Lanka,India,Sri Lanka,173
10,RG Sharma,M Theekshana,KL Rahul,1,0,1,7,174,3,5,0,3,-,2,,0,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,India_Sri Lanka_2022-09-06,Sri Lanka,India,Sri Lanka,173
11,KL Rahul,M Theekshana,RG Sharma,4,0,4,11,170,6,7,0,4,-,2,,0,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,India_Sri Lanka_2022-09-06,Sri Lanka,India,Sri Lanka,173
12,KL Rahul,M Theekshana,RG Sharma,0,0,0,11,170,6,8,1,5,-,2,"{'by': 'India', 'umpire': 'Bismillah Shinwari', 'batter': 'KL Rahul', 'decision': 'struck down', 'umpires_call': True}",lbw,KL Rahul,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,India_Sri Lanka_2022-09-06,Sri Lanka,India,Sri Lanka,173
13,V Kohli,M Theekshana,RG Sharma,0,0,0,11,170,0,1,1,6,-,2,,0,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,India_Sri Lanka_2022-09-06,Sri Lanka,India,Sri Lanka,173
14,RG Sharma,D Madushanka,V Kohli,1,0,1,12,169,4,6,1,1,-,3,,0,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,India_Sri Lanka_2022-09-06,Sri Lanka,India,Sri Lanka,173
15,V Kohli,D Madushanka,RG Sharma,0,0,0,12,169,0,2,1,2,-,3,,0,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,India_Sri Lanka_2022-09-06,Sri Lanka,India,Sri Lanka,173
