,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,KL Rahul,TA Boult,Ishan Kishan,0,0,0,0,125,0,1,0,1,1,0,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2021,10,India_New Zealand_2021-10-31,New Zealand,India,New Zealand
1,KL Rahul,TA Boult,Ishan Kishan,1,0,1,1,124,1,2,0,2,1,0,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2021,10,India_New Zealand_2021-10-31,New Zealand,India,New Zealand
2,Ishan Kishan,TA Boult,KL Rahul,0,0,0,1,124,0,1,0,3,1,0,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2021,10,India_New Zealand_2021-10-31,New Zealand,India,New Zealand
3,Ishan Kishan,TA Boult,KL Rahul,0,0,0,1,124,0,2,0,4,1,0,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2021,10,India_New Zealand_2021-10-31,New Zealand,India,New Zealand
4,Ishan Kishan,TA Boult,KL Rahul,0,0,0,1,124,0,3,0,5,1,0,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2021,10,India_New Zealand_2021-10-31,New Zealand,India,New Zealand
5,Ishan Kishan,TA Boult,KL Rahul,0,0,0,1,124,0,4,0,6,1,0,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2021,10,India_New Zealand_2021-10-31,New Zealand,India,New Zealand
6,KL Rahul,TG Southee,Ishan Kishan,0,0,0,1,124,1,3,0,1,2,0,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2021,10,India_New Zealand_2021-10-31,New Zealand,India,New Zealand
7,KL Rahul,TG Southee,Ishan Kishan,0,0,0,1,124,1,4,0,2,2,0,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2021,10,India_New Zealand_2021-10-31,New Zealand,India,New Zealand
8,KL Rahul,TG Southee,Ishan Kishan,0,0,0,1,124,1,5,0,3,2,0,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2021,10,India_New Zealand_2021-10-31,New Zealand,India,New Zealand
9,KL Rahul,TG Southee,Ishan Kishan,4,0,4,5,120,5,6,0,4,2,0,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2021,10,India_New Zealand_2021-10-31,New Zealand,India,New Zealand
10,KL Rahul,TG Southee,Ishan Kishan,0,0,0,5,120,5,7,0,5,2,0,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2021,10,India_New Zealand_2021-10-31,New Zealand,India,New Zealand
11,KL Rahul,TG Southee,Ishan Kishan,1,0,1,6,119,6,8,0,6,2,0,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2021,10,India_New Zealand_2021-10-31,New Zealand,India,New Zealand
12,KL Rahul,TA Boult,Ishan Kishan,1,0,1,7,118,7,9,0,1,3,0,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2021,10,India_New Zealand_2021-10-31,New Zealand,India,New Zealand
13,Ishan Kishan,TA Boult,KL Rahul,4,0,4,11,114,4,5,0,2,3,0,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2021,10,India_New Zealand_2021-10-31,New Zealand,India,New Zealand
14,Ishan Kishan,TA Boult,KL Rahul,0,0,0,11,114,4,6,0,3,3,0,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2021,10,India_New Zealand_2021-10-31,New Zealand,India,New Zealand
15,Ishan Kishan,TA Boult,KL Rahul,0,0,0,11,114,4,7,0,4,3,0,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2021,10,India_New Zealand_2021-10-31,New Zealand,India,New Zealand
16,Ishan Kishan,TA Boult,KL Rahul,0,0,0,11,114,4,8,1,5,3,caught,Ishan Kishan,DJ Mitchell,-,,field,New Zealand,1,Dubai International Cricket Stadium,2021,10,India_New Zealand_2021-10-31,New Zealand,India,New Zealand
17,RG Sharma,TA Boult,KL Rahul,1,0,1,12,113,1,1,1,6,3,0,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2021,10,India_New Zealand_2021-10-31,New Zealand,India,New Zealand
18,RG Sharma,MJ Santner,KL Rahul,0,0,0,12,113,1,2,1,1,4,0,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2021,10,India_New Zealand_2021-10-31,New Zealand,India,New Zealand
19,RG Sharma,MJ Santner,KL Rahul,1,0,1,13,112,2,3,1,2,4,0,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2021,10,India_New Zealand_2021-10-31,New Zealand,India,New Zealand
20,KL Rahul,MJ Santner,RG Sharma,1,0,1,14,111,8,10,1,3,4,0,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2021,10,India_New Zealand_2021-10-31,New Zealand,India,New Zealand
21,RG Sharma,MJ Santner,KL Rahul,0,0,0,14,111,2,4,1,4,4,0,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2021,10,India_New Zealand_2021-10-31,New Zealand,India,New Zealand
22,RG Sharma,MJ Santner,KL Rahul,0,0,0,14,111,2,5,1,5,4,0,,,-,,field,New Zealand,1,Dubai International Cricket Stadium,2021,10,India_New Zealand_2021-10-31,New Zealand,India,New Zealand
