,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Rahmanullah Gurbaz,A Ndlovu,Hazratullah,1,0,1,1,,1,1,0,-,1.0,0,0,,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2019,09,Afghanistan_Zimbabwe_2019-09-14,Afghanistan,Afghanistan,Zimbabwe,True,197
1,Hazratullah,A Ndlovu,Rahmanullah Gurbaz,0,0,0,1,,0,1,0,-,2.0,0,0,,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2019,09,Afghanistan_Zimbabwe_2019-09-14,Afghanistan,Afghanistan,Zimbabwe,True,197
2,Hazratullah,A Ndlovu,Rahmanullah Gurbaz,1,0,1,2,,1,2,0,-,3.0,0,0,,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2019,09,Afghanistan_Zimbabwe_2019-09-14,Afghanistan,Afghanistan,Zimbabwe,True,197
3,Rahmanullah Gurbaz,A Ndlovu,Hazratullah,0,2,2,4,,1,2,0,byes,4.0,0,0,,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2019,09,Afghanistan_Zimbabwe_2019-09-14,Afghanistan,Afghanistan,Zimbabwe,True,197
4,Rahmanullah Gurbaz,A Ndlovu,Hazratullah,1,0,1,5,,2,3,0,-,5.0,0,0,,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2019,09,Afghanistan_Zimbabwe_2019-09-14,Afghanistan,Afghanistan,Zimbabwe,True,197
5,Hazratullah,A Ndlovu,Rahmanullah Gurbaz,2,0,2,7,,3,3,0,-,6.0,0,0,,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2019,09,Afghanistan_Zimbabwe_2019-09-14,Afghanistan,Afghanistan,Zimbabwe,True,197
6,Rahmanullah Gurbaz,KM Jarvis,Hazratullah,0,0,0,7,,2,4,0,-,1.0,1,0,,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2019,09,Afghanistan_Zimbabwe_2019-09-14,Afghanistan,Afghanistan,Zimbabwe,True,197
7,Rahmanullah Gurbaz,KM Jarvis,Hazratullah,0,0,0,7,,2,5,0,-,2.0,1,0,,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2019,09,Afghanistan_Zimbabwe_2019-09-14,Afghanistan,Afghanistan,Zimbabwe,True,197
8,Rahmanullah Gurbaz,KM Jarvis,Hazratullah,0,0,0,7,,2,6,0,-,3.0,1,0,,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2019,09,Afghanistan_Zimbabwe_2019-09-14,Afghanistan,Afghanistan,Zimbabwe,True,197
9,Rahmanullah Gurbaz,KM Jarvis,Hazratullah,4,0,4,11,,6,7,0,-,4.0,1,0,,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2019,09,Afghanistan_Zimbabwe_2019-09-14,Afghanistan,Afghanistan,Zimbabwe,True,197
10,Rahmanullah Gurbaz,KM Jarvis,Hazratullah,4,0,4,15,,10,8,0,-,5.0,1,0,,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2019,09,Afghanistan_Zimbabwe_2019-09-14,Afghanistan,Afghanistan,Zimbabwe,True,197
11,Rahmanullah Gurbaz,KM Jarvis,Hazratullah,3,0,3,18,,13,9,0,-,6.0,1,0,,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2019,09,Afghanistan_Zimbabwe_2019-09-14,Afghanistan,Afghanistan,Zimbabwe,True,197
12,Rahmanullah Gurbaz,TL Chatara,Hazratullah,0,0,0,18,,13,10,0,-,1.0,2,0,,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2019,09,Afghanistan_Zimbabwe_2019-09-14,Afghanistan,Afghanistan,Zimbabwe,True,197
13,Rahmanullah Gurbaz,TL Chatara,Hazratullah,1,0,1,19,,14,11,0,-,2.0,2,0,,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2019,09,Afghanistan_Zimbabwe_2019-09-14,Afghanistan,Afghanistan,Zimbabwe,True,197
