,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,Tamim Iqbal,Mohammad Amir,Imrul Kayes,0,0,0,0,172,0,1,0,-,1.0,0,,,0,bat,Pakistan,2,"Beausejour Stadium, Gros Islet",2010,05,Bangladesh_Pakistan_2010-05-01,Pakistan,Bangladesh,Pakistan,False,151,,Left hand Bat,Left arm Fast
1,Tamim Iqbal,Mohammad Amir,Imrul Kayes,0,0,0,0,172,0,2,0,-,2.0,0,,,0,bat,Pakistan,2,"Beausejour Stadium, Gros Islet",2010,05,Bangladesh_Pakistan_2010-05-01,Pakistan,Bangladesh,Pakistan,False,151,,Left hand Bat,Left arm Fast
2,Tamim Iqbal,Mohammad Amir,Imrul Kayes,0,0,0,0,172,0,3,0,-,3.0,0,,,0,bat,Pakistan,2,"Beausejour Stadium, Gros Islet",2010,05,Bangladesh_Pakistan_2010-05-01,Pakistan,Bangladesh,Pakistan,False,151,,Left hand Bat,Left arm Fast
3,Tamim Iqbal,Mohammad Amir,Imrul Kayes,1,0,1,1,171,1,4,0,-,4.0,0,,,0,bat,Pakistan,2,"Beausejour Stadium, Gros Islet",2010,05,Bangladesh_Pakistan_2010-05-01,Pakistan,Bangladesh,Pakistan,False,151,,Left hand Bat,Left arm Fast
4,Imrul Kayes,Mohammad Amir,Tamim Iqbal,0,0,0,1,171,0,1,0,-,5.0,0,,,0,bat,Pakistan,2,"Beausejour Stadium, Gros Islet",2010,05,Bangladesh_Pakistan_2010-05-01,Pakistan,Bangladesh,Pakistan,False,151,Left hand Bat,,Left arm Fast
5,Imrul Kayes,Mohammad Amir,Tamim Iqbal,0,0,0,1,171,0,2,1,-,6.0,caught,Imrul Kayes,Misbah-ul-Haq,0,bat,Pakistan,2,"Beausejour Stadium, Gros Islet",2010,05,Bangladesh_Pakistan_2010-05-01,Pakistan,Bangladesh,Pakistan,False,151,Left hand Bat,,Left arm Fast
6,Tamim Iqbal,Mohammad Sami,Mohammad Ashraful,0,0,0,1,171,1,5,1,-,1.0,0,,,1,bat,Pakistan,2,"Beausejour Stadium, Gros Islet",2010,05,Bangladesh_Pakistan_2010-05-01,Pakistan,Bangladesh,Pakistan,False,151,,Right hand Bat,Right arm Fast
7,Tamim Iqbal,Mohammad Sami,Mohammad Ashraful,4,0,4,5,167,5,6,1,-,2.0,0,,,1,bat,Pakistan,2,"Beausejour Stadium, Gros Islet",2010,05,Bangladesh_Pakistan_2010-05-01,Pakistan,Bangladesh,Pakistan,False,151,,Right hand Bat,Right arm Fast
8,Tamim Iqbal,Mohammad Sami,Mohammad Ashraful,1,0,1,6,166,6,7,1,-,3.0,0,,,1,bat,Pakistan,2,"Beausejour Stadium, Gros Islet",2010,05,Bangladesh_Pakistan_2010-05-01,Pakistan,Bangladesh,Pakistan,False,151,,Right hand Bat,Right arm Fast
9,Mohammad Ashraful,Mohammad Sami,Tamim Iqbal,0,0,0,6,166,0,1,1,-,4.0,0,,,1,bat,Pakistan,2,"Beausejour Stadium, Gros Islet",2010,05,Bangladesh_Pakistan_2010-05-01,Pakistan,Bangladesh,Pakistan,False,151,Right hand Bat,,Right arm Fast
10,Mohammad Ashraful,Mohammad Sami,Tamim Iqbal,1,0,1,7,165,1,2,1,-,5.0,0,,,1,bat,Pakistan,2,"Beausejour Stadium, Gros Islet",2010,05,Bangladesh_Pakistan_2010-05-01,Pakistan,Bangladesh,Pakistan,False,151,Right hand Bat,,Right arm Fast
