,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Mohammad Naim,KA Maharaj,Liton Das,0,0,0,0,,0,1,0,1,0,,-,0,,,field,South Africa,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,Bangladesh,South Africa,False,84
1,Mohammad Naim,KA Maharaj,Liton Das,1,0,1,1,,1,2,0,2,0,,-,0,,,field,South Africa,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,Bangladesh,South Africa,False,84
2,Liton Das,KA Maharaj,Mohammad Naim,0,0,0,1,,0,1,0,3,0,,-,0,,,field,South Africa,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,Bangladesh,South Africa,False,84
3,Liton Das,KA Maharaj,Mohammad Naim,2,0,2,3,,2,2,0,4,0,,-,0,,,field,South Africa,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,Bangladesh,South Africa,False,84
4,Liton Das,KA Maharaj,Mohammad Naim,0,0,0,3,,2,3,0,5,0,,-,0,,,field,South Africa,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,Bangladesh,South Africa,False,84
5,Liton Das,KA Maharaj,Mohammad Naim,1,0,1,4,,3,4,0,6,0,,-,0,,,field,South Africa,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,Bangladesh,South Africa,False,84
6,Liton Das,K Rabada,Mohammad Naim,0,0,0,4,,3,5,0,1,1,,-,0,,,field,South Africa,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,Bangladesh,South Africa,False,84
7,Liton Das,K Rabada,Mohammad Naim,4,0,4,8,,7,6,0,2,1,,-,0,,,field,South Africa,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,Bangladesh,South Africa,False,84
8,Liton Das,K Rabada,Mohammad Naim,1,0,1,9,,8,7,0,3,1,,-,0,,,field,South Africa,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,Bangladesh,South Africa,False,84
9,Mohammad Naim,K Rabada,Liton Das,0,0,0,9,,1,3,0,4,1,,-,0,,,field,South Africa,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,Bangladesh,South Africa,False,84
10,Mohammad Naim,K Rabada,Liton Das,0,0,0,9,,1,4,0,5,1,,-,0,,,field,South Africa,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,Bangladesh,South Africa,False,84
11,Mohammad Naim,K Rabada,Liton Das,0,0,0,9,,1,5,0,6,1,,-,0,,,field,South Africa,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,Bangladesh,South Africa,False,84
12,Liton Das,KA Maharaj,Mohammad Naim,0,0,0,9,,8,8,0,1,2,,-,0,,,field,South Africa,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,Bangladesh,South Africa,False,84
13,Liton Das,KA Maharaj,Mohammad Naim,1,0,1,10,,9,9,0,2,2,,-,0,,,field,South Africa,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,Bangladesh,South Africa,False,84
14,Mohammad Naim,KA Maharaj,Liton Das,1,0,1,11,,2,6,0,3,2,,-,0,,,field,South Africa,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,Bangladesh,South Africa,False,84
15,Liton Das,KA Maharaj,Mohammad Naim,1,0,1,12,,10,10,0,4,2,,-,0,,,field,South Africa,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,Bangladesh,South Africa,False,84
16,Mohammad Naim,KA Maharaj,Liton Das,4,0,4,16,,6,7,0,5,2,,-,0,,,field,South Africa,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,Bangladesh,South Africa,False,84
17,Mohammad Naim,KA Maharaj,Liton Das,1,0,1,17,,7,8,0,6,2,,-,0,,,field,South Africa,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,Bangladesh,South Africa,False,84
18,Mohammad Naim,K Rabada,Liton Das,1,0,1,18,,8,9,0,1,3,,-,0,,,field,South Africa,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,Bangladesh,South Africa,False,84
19,Liton Das,K Rabada,Mohammad Naim,1,0,1,19,,11,11,0,2,3,,-,0,,,field,South Africa,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,Bangladesh,South Africa,False,84
20,Mohammad Naim,K Rabada,Liton Das,1,0,1,20,,9,10,0,3,3,,-,0,,,field,South Africa,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,Bangladesh,South Africa,False,84
21,Liton Das,K Rabada,Mohammad Naim,1,0,1,21,,12,12,0,4,3,,-,0,,,field,South Africa,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,Bangladesh,South Africa,False,84
22,Mohammad Naim,K Rabada,Liton Das,0,1,1,22,,9,11,0,5,3,,wides,0,,,field,South Africa,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,Bangladesh,South Africa,False,84
23,Mohammad Naim,K Rabada,Liton Das,0,0,0,22,,9,12,1,6,3,,-,caught,Mohammad Naim,RR Hendricks,field,South Africa,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Bangladesh_South Africa_2021-11-02,South Africa,Bangladesh,South Africa,False,84
