,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,Hazratullah,TG Southee,Mohammad Shahzad,0,1,1,1,,0,1,0,wides,0.0,0,0,,,bat,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Afghanistan_New Zealand_2021-11-07,New Zealand,Afghanistan,New Zealand,False,124,Left hand Bat,,Right arm Medium
1,Hazratullah,TG Southee,Mohammad Shahzad,0,1,1,2,,0,2,0,legbyes,1.0,0,0,,,bat,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Afghanistan_New Zealand_2021-11-07,New Zealand,Afghanistan,New Zealand,False,124,Left hand Bat,,Right arm Medium
2,Mohammad Shahzad,TG Southee,Hazratullah,4,0,4,6,,4,1,0,-,2.0,0,0,,,bat,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Afghanistan_New Zealand_2021-11-07,New Zealand,Afghanistan,New Zealand,False,124,,Left hand Bat,Right arm Medium
3,Mohammad Shahzad,TG Southee,Hazratullah,0,0,0,6,,4,2,0,-,3.0,0,0,,,bat,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Afghanistan_New Zealand_2021-11-07,New Zealand,Afghanistan,New Zealand,False,124,,Left hand Bat,Right arm Medium
4,Mohammad Shahzad,TG Southee,Hazratullah,0,0,0,6,,4,3,0,-,4.0,0,0,,,bat,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Afghanistan_New Zealand_2021-11-07,New Zealand,Afghanistan,New Zealand,False,124,,Left hand Bat,Right arm Medium
5,Mohammad Shahzad,TG Southee,Hazratullah,0,0,0,6,,4,4,0,-,5.0,0,0,,,bat,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Afghanistan_New Zealand_2021-11-07,New Zealand,Afghanistan,New Zealand,False,124,,Left hand Bat,Right arm Medium
6,Mohammad Shahzad,TG Southee,Hazratullah,0,0,0,6,,4,5,0,-,6.0,0,0,,,bat,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Afghanistan_New Zealand_2021-11-07,New Zealand,Afghanistan,New Zealand,False,124,,Left hand Bat,Right arm Medium
7,Hazratullah,TA Boult,Mohammad Shahzad,1,0,1,7,,1,3,0,-,1.0,1,0,,,bat,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Afghanistan_New Zealand_2021-11-07,New Zealand,Afghanistan,New Zealand,False,124,Left hand Bat,,Left arm Fast
8,Mohammad Shahzad,TA Boult,Hazratullah,0,0,0,7,,4,6,0,-,2.0,1,0,,,bat,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Afghanistan_New Zealand_2021-11-07,New Zealand,Afghanistan,New Zealand,False,124,,Left hand Bat,Left arm Fast
9,Mohammad Shahzad,TA Boult,Hazratullah,0,0,0,7,,4,7,0,-,3.0,1,0,,,bat,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,Afghanistan_New Zealand_2021-11-07,New Zealand,Afghanistan,New Zealand,False,124,,Left hand Bat,Left arm Fast
