,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,RS Bopara,B Lee,JL Denly,0,0,0,0,145,0,1,0,-,1.0,0,,,0,field,England,2,Old Trafford,2009,08,England_Australia_2009-08-30,no result,England,Australia,,4,Right hand Bat,Right hand Bat,Right arm Fast
1,RS Bopara,B Lee,JL Denly,1,0,1,1,144,1,2,0,-,2.0,0,,,0,field,England,2,Old Trafford,2009,08,England_Australia_2009-08-30,no result,England,Australia,,4,Right hand Bat,Right hand Bat,Right arm Fast
2,JL Denly,B Lee,RS Bopara,0,0,0,1,144,0,1,1,-,3.0,caught,JL Denly,NM Hauritz,0,field,England,2,Old Trafford,2009,08,England_Australia_2009-08-30,no result,England,Australia,,4,Right hand Bat,Right hand Bat,Right arm Fast
3,IJL Trott,B Lee,RS Bopara,0,1,1,2,143,0,0,1,noballs,3.0,0,,,0,field,England,2,Old Trafford,2009,08,England_Australia_2009-08-30,no result,England,Australia,,4,Right hand Bat,Right hand Bat,Right arm Fast
4,IJL Trott,B Lee,RS Bopara,0,0,0,2,143,0,1,1,-,4.0,0,,,0,field,England,2,Old Trafford,2009,08,England_Australia_2009-08-30,no result,England,Australia,,4,Right hand Bat,Right hand Bat,Right arm Fast
5,IJL Trott,B Lee,RS Bopara,0,1,1,3,142,0,1,1,wides,4.0,0,,,0,field,England,2,Old Trafford,2009,08,England_Australia_2009-08-30,no result,England,Australia,,4,Right hand Bat,Right hand Bat,Right arm Fast
6,IJL Trott,B Lee,RS Bopara,0,0,0,3,142,0,2,1,-,5.0,0,,,0,field,England,2,Old Trafford,2009,08,England_Australia_2009-08-30,no result,England,Australia,,4,Right hand Bat,Right hand Bat,Right arm Fast
7,IJL Trott,B Lee,RS Bopara,0,0,0,3,142,0,3,1,-,6.0,0,,,0,field,England,2,Old Trafford,2009,08,England_Australia_2009-08-30,no result,England,Australia,,4,Right hand Bat,Right hand Bat,Right arm Fast
8,RS Bopara,MG Johnson,IJL Trott,0,1,1,4,141,1,2,1,wides,0.0,0,,,1,field,England,2,Old Trafford,2009,08,England_Australia_2009-08-30,no result,England,Australia,,4,Right hand Bat,Right hand Bat,Left arm Fast
9,RS Bopara,MG Johnson,IJL Trott,0,0,0,4,141,1,3,2,-,1.0,caught,RS Bopara,SR Watson,1,field,England,2,Old Trafford,2009,08,England_Australia_2009-08-30,no result,England,Australia,,4,Right hand Bat,Right hand Bat,Left arm Fast
