,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,Mohammad Rizwan,BC Fortuin,Babar Azam,1,0,1,1,,1,1,0,-,1.0,0,,,0,,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,Pakistan,South Africa,True,169,Right hand Bat,Right hand Bat,Left arm Orthodox
1,Babar Azam,BC Fortuin,Mohammad Rizwan,0,0,0,1,,0,1,1,-,2.0,run out,Babar Azam,,0,,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,Pakistan,South Africa,True,169,Right hand Bat,Right hand Bat,Left arm Orthodox
2,Mohammad Rizwan,BC Fortuin,Haider Ali,0,0,0,1,,1,2,1,-,3.0,0,,,0,,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,Pakistan,South Africa,True,169,Right hand Bat,Right hand Bat,Left arm Orthodox
3,Mohammad Rizwan,BC Fortuin,Haider Ali,0,0,0,1,,1,3,1,-,4.0,0,,,0,,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,Pakistan,South Africa,True,169,Right hand Bat,Right hand Bat,Left arm Orthodox
4,Mohammad Rizwan,BC Fortuin,Haider Ali,3,0,3,4,,4,4,1,-,5.0,0,,,0,,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,Pakistan,South Africa,True,169,Right hand Bat,Right hand Bat,Left arm Orthodox
5,Haider Ali,BC Fortuin,Mohammad Rizwan,0,0,0,4,,0,1,1,-,6.0,0,,,0,,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,Pakistan,South Africa,True,169,Right hand Bat,Right hand Bat,Left arm Orthodox
6,Mohammad Rizwan,D Pretorius,Haider Ali,1,0,1,5,,5,5,1,-,1.0,0,,,1,,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,Pakistan,South Africa,True,169,Right hand Bat,Right hand Bat,Right arm Medium
7,Haider Ali,D Pretorius,Mohammad Rizwan,0,0,0,5,,0,2,1,-,2.0,0,,,1,,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,Pakistan,South Africa,True,169,Right hand Bat,Right hand Bat,Right arm Medium
8,Haider Ali,D Pretorius,Mohammad Rizwan,1,0,1,6,,1,3,1,-,3.0,0,,,1,,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,Pakistan,South Africa,True,169,Right hand Bat,Right hand Bat,Right arm Medium
9,Mohammad Rizwan,D Pretorius,Haider Ali,0,0,0,6,,5,6,1,-,4.0,0,,,1,,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,Pakistan,South Africa,True,169,Right hand Bat,Right hand Bat,Right arm Medium
10,Mohammad Rizwan,D Pretorius,Haider Ali,0,0,0,6,,5,7,1,-,5.0,0,,,1,,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,Pakistan,South Africa,True,169,Right hand Bat,Right hand Bat,Right arm Medium
11,Mohammad Rizwan,D Pretorius,Haider Ali,1,0,1,7,,6,8,1,-,6.0,0,,,1,,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,Pakistan,South Africa,True,169,Right hand Bat,Right hand Bat,Right arm Medium
12,Mohammad Rizwan,BC Fortuin,Haider Ali,1,0,1,8,,7,9,1,-,1.0,0,,,2,,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,Pakistan,South Africa,True,169,Right hand Bat,Right hand Bat,Left arm Orthodox
13,Haider Ali,BC Fortuin,Mohammad Rizwan,6,0,6,14,,7,4,1,-,2.0,0,,,2,,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,Pakistan,South Africa,True,169,Right hand Bat,Right hand Bat,Left arm Orthodox
14,Haider Ali,BC Fortuin,Mohammad Rizwan,0,0,0,14,,7,5,1,-,3.0,0,,,2,,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,Pakistan,South Africa,True,169,Right hand Bat,Right hand Bat,Left arm Orthodox
15,Haider Ali,BC Fortuin,Mohammad Rizwan,0,0,0,14,,7,6,1,-,4.0,0,,,2,,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,Pakistan,South Africa,True,169,Right hand Bat,Right hand Bat,Left arm Orthodox
16,Haider Ali,BC Fortuin,Mohammad Rizwan,6,0,6,20,,13,7,1,-,5.0,0,,,2,,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,Pakistan,South Africa,True,169,Right hand Bat,Right hand Bat,Left arm Orthodox
