,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,Rahmanullah Gurbaz,A Ndlovu,Hazratullah,0,0,0,0,175,0,1,0,1,1,-,0,,,,bat,Afghanistan,1,Zahur Ahmed Chowdhury Stadium,2019,09,Afghanistan_Zimbabwe_2019-09-20,Zimbabwe,Afghanistan,Zimbabwe
1,Rahmanullah Gurbaz,A Ndlovu,Hazratullah,0,0,0,0,175,0,2,0,2,1,-,0,,,,bat,Afghanistan,1,Zahur Ahmed Chowdhury Stadium,2019,09,Afghanistan_Zimbabwe_2019-09-20,Zimbabwe,Afghanistan,Zimbabwe
2,Rahmanullah Gurbaz,A Ndlovu,Hazratullah,0,0,0,0,175,0,3,0,3,1,-,0,,,,bat,Afghanistan,1,Zahur Ahmed Chowdhury Stadium,2019,09,Afghanistan_Zimbabwe_2019-09-20,Zimbabwe,Afghanistan,Zimbabwe
3,Rahmanullah Gurbaz,A Ndlovu,Hazratullah,0,0,0,0,175,0,4,0,4,1,-,0,,,,bat,Afghanistan,1,Zahur Ahmed Chowdhury Stadium,2019,09,Afghanistan_Zimbabwe_2019-09-20,Zimbabwe,Afghanistan,Zimbabwe
4,Rahmanullah Gurbaz,A Ndlovu,Hazratullah,2,0,2,2,173,2,5,0,5,1,-,0,,,,bat,Afghanistan,1,Zahur Ahmed Chowdhury Stadium,2019,09,Afghanistan_Zimbabwe_2019-09-20,Zimbabwe,Afghanistan,Zimbabwe
5,Rahmanullah Gurbaz,A Ndlovu,Hazratullah,0,0,0,2,173,2,6,0,6,1,-,0,,,,bat,Afghanistan,1,Zahur Ahmed Chowdhury Stadium,2019,09,Afghanistan_Zimbabwe_2019-09-20,Zimbabwe,Afghanistan,Zimbabwe
6,Hazratullah,KM Jarvis,Rahmanullah Gurbaz,0,0,0,2,173,0,1,0,1,2,-,0,,,,bat,Afghanistan,1,Zahur Ahmed Chowdhury Stadium,2019,09,Afghanistan_Zimbabwe_2019-09-20,Zimbabwe,Afghanistan,Zimbabwe
7,Hazratullah,KM Jarvis,Rahmanullah Gurbaz,6,0,6,8,167,6,2,0,2,2,-,0,,,,bat,Afghanistan,1,Zahur Ahmed Chowdhury Stadium,2019,09,Afghanistan_Zimbabwe_2019-09-20,Zimbabwe,Afghanistan,Zimbabwe
8,Hazratullah,KM Jarvis,Rahmanullah Gurbaz,1,0,1,9,166,7,3,0,3,2,-,0,,,,bat,Afghanistan,1,Zahur Ahmed Chowdhury Stadium,2019,09,Afghanistan_Zimbabwe_2019-09-20,Zimbabwe,Afghanistan,Zimbabwe
9,Rahmanullah Gurbaz,KM Jarvis,Hazratullah,6,0,6,15,160,8,7,0,4,2,-,0,,,,bat,Afghanistan,1,Zahur Ahmed Chowdhury Stadium,2019,09,Afghanistan_Zimbabwe_2019-09-20,Zimbabwe,Afghanistan,Zimbabwe
10,Rahmanullah Gurbaz,KM Jarvis,Hazratullah,1,0,1,16,159,9,8,0,5,2,-,0,,,,bat,Afghanistan,1,Zahur Ahmed Chowdhury Stadium,2019,09,Afghanistan_Zimbabwe_2019-09-20,Zimbabwe,Afghanistan,Zimbabwe
11,Hazratullah,KM Jarvis,Rahmanullah Gurbaz,0,0,0,16,159,7,4,0,6,2,-,0,,,,bat,Afghanistan,1,Zahur Ahmed Chowdhury Stadium,2019,09,Afghanistan_Zimbabwe_2019-09-20,Zimbabwe,Afghanistan,Zimbabwe
12,Rahmanullah Gurbaz,SC Williams,Hazratullah,0,0,0,16,159,9,9,0,1,3,-,0,,,,bat,Afghanistan,1,Zahur Ahmed Chowdhury Stadium,2019,09,Afghanistan_Zimbabwe_2019-09-20,Zimbabwe,Afghanistan,Zimbabwe
13,Rahmanullah Gurbaz,SC Williams,Hazratullah,0,0,0,16,159,9,10,0,2,3,-,0,,,,bat,Afghanistan,1,Zahur Ahmed Chowdhury Stadium,2019,09,Afghanistan_Zimbabwe_2019-09-20,Zimbabwe,Afghanistan,Zimbabwe
14,Rahmanullah Gurbaz,SC Williams,Hazratullah,2,0,2,18,157,11,11,0,3,3,-,0,,,,bat,Afghanistan,1,Zahur Ahmed Chowdhury Stadium,2019,09,Afghanistan_Zimbabwe_2019-09-20,Zimbabwe,Afghanistan,Zimbabwe
15,Rahmanullah Gurbaz,SC Williams,Hazratullah,0,0,0,18,157,11,12,0,4,3,-,0,,,,bat,Afghanistan,1,Zahur Ahmed Chowdhury Stadium,2019,09,Afghanistan_Zimbabwe_2019-09-20,Zimbabwe,Afghanistan,Zimbabwe
