,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,PR Stirling,Taskin Ahmed,GR Adair,0,0,0,0,124,0,1,0,-,1.0,0,0,,,bat,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Ireland,Bangladesh,True,126
1,PR Stirling,Taskin Ahmed,GR Adair,1,0,1,1,123,1,2,0,-,2.0,0,0,,,bat,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Ireland,Bangladesh,True,126
2,GR Adair,Taskin Ahmed,PR Stirling,0,0,0,1,123,0,1,0,-,3.0,0,0,,,bat,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Ireland,Bangladesh,True,126
3,GR Adair,Taskin Ahmed,PR Stirling,0,0,0,1,123,0,2,0,-,4.0,0,0,,,bat,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Ireland,Bangladesh,True,126
4,GR Adair,Taskin Ahmed,PR Stirling,4,0,4,5,119,4,3,0,-,5.0,0,0,,,bat,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Ireland,Bangladesh,True,126
5,GR Adair,Taskin Ahmed,PR Stirling,0,0,0,5,119,4,4,0,-,6.0,0,0,,,bat,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Ireland,Bangladesh,True,126
6,PR Stirling,Shakib Al Hasan,GR Adair,4,0,4,9,115,5,3,0,-,1.0,1,0,,,bat,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Ireland,Bangladesh,True,126
7,PR Stirling,Shakib Al Hasan,GR Adair,4,0,4,13,111,9,4,0,-,2.0,1,0,,,bat,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Ireland,Bangladesh,True,126
8,PR Stirling,Shakib Al Hasan,GR Adair,0,0,0,13,111,9,5,0,-,3.0,1,0,,,bat,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Ireland,Bangladesh,True,126
9,PR Stirling,Shakib Al Hasan,GR Adair,1,0,1,14,110,10,6,0,-,4.0,1,0,,,bat,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Ireland,Bangladesh,True,126
