,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,Nazmul Hossain Shanto,A Ndlovu,Liton Das,,1,0,1,1,163,1,1,0,1,1,-,0,,,field,Zimbabwe,1,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Zimbabwe_2019-09-18,Bangladesh,Bangladesh,Zimbabwe
1,Liton Das,A Ndlovu,Nazmul Hossain Shanto,,0,0,0,1,163,0,1,0,2,1,-,0,,,field,Zimbabwe,1,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Zimbabwe_2019-09-18,Bangladesh,Bangladesh,Zimbabwe
2,Liton Das,A Ndlovu,Nazmul Hossain Shanto,,0,0,0,1,163,0,2,0,3,1,-,0,,,field,Zimbabwe,1,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Zimbabwe_2019-09-18,Bangladesh,Bangladesh,Zimbabwe
3,Liton Das,A Ndlovu,Nazmul Hossain Shanto,,0,0,0,1,163,0,3,0,4,1,-,0,,,field,Zimbabwe,1,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Zimbabwe_2019-09-18,Bangladesh,Bangladesh,Zimbabwe
4,Liton Das,A Ndlovu,Nazmul Hossain Shanto,"{'by': 'Zimbabwe', 'umpire': 'Tanvir Ahmed', 'batter': 'Liton Das', 'decision': 'struck down'}",0,0,0,1,163,0,4,0,5,1,-,0,,,field,Zimbabwe,1,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Zimbabwe_2019-09-18,Bangladesh,Bangladesh,Zimbabwe
5,Liton Das,A Ndlovu,Nazmul Hossain Shanto,,1,0,1,2,162,1,5,0,6,1,-,0,,,field,Zimbabwe,1,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Zimbabwe_2019-09-18,Bangladesh,Bangladesh,Zimbabwe
6,Liton Das,KM Jarvis,Nazmul Hossain Shanto,,4,0,4,6,158,5,6,0,1,2,-,0,,,field,Zimbabwe,1,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Zimbabwe_2019-09-18,Bangladesh,Bangladesh,Zimbabwe
7,Liton Das,KM Jarvis,Nazmul Hossain Shanto,,0,0,0,6,158,5,7,0,2,2,-,0,,,field,Zimbabwe,1,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Zimbabwe_2019-09-18,Bangladesh,Bangladesh,Zimbabwe
8,Liton Das,KM Jarvis,Nazmul Hossain Shanto,,0,0,0,6,158,5,8,0,3,2,-,0,,,field,Zimbabwe,1,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Zimbabwe_2019-09-18,Bangladesh,Bangladesh,Zimbabwe
9,Liton Das,KM Jarvis,Nazmul Hossain Shanto,,4,0,4,10,154,9,9,0,4,2,-,0,,,field,Zimbabwe,1,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Zimbabwe_2019-09-18,Bangladesh,Bangladesh,Zimbabwe
