,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Mohammad Hafeez,P Utseya,Asad Shafiq,1,0,1,1,,1,1,0,-,1.0,0,0,,,bat,Pakistan,1,Harare Sports Club,2011,09,Zimbabwe_Pakistan_2011-09-18,Pakistan,Pakistan,Zimbabwe,True,141
1,Asad Shafiq,P Utseya,Mohammad Hafeez,0,0,0,1,,0,1,0,-,2.0,0,0,,,bat,Pakistan,1,Harare Sports Club,2011,09,Zimbabwe_Pakistan_2011-09-18,Pakistan,Pakistan,Zimbabwe,True,141
2,Asad Shafiq,P Utseya,Mohammad Hafeez,1,0,1,2,,1,2,0,-,3.0,0,0,,,bat,Pakistan,1,Harare Sports Club,2011,09,Zimbabwe_Pakistan_2011-09-18,Pakistan,Pakistan,Zimbabwe,True,141
3,Mohammad Hafeez,P Utseya,Asad Shafiq,4,0,4,6,,5,2,0,-,4.0,0,0,,,bat,Pakistan,1,Harare Sports Club,2011,09,Zimbabwe_Pakistan_2011-09-18,Pakistan,Pakistan,Zimbabwe,True,141
4,Mohammad Hafeez,P Utseya,Asad Shafiq,4,0,4,10,,9,3,0,-,5.0,0,0,,,bat,Pakistan,1,Harare Sports Club,2011,09,Zimbabwe_Pakistan_2011-09-18,Pakistan,Pakistan,Zimbabwe,True,141
5,Mohammad Hafeez,P Utseya,Asad Shafiq,0,0,0,10,,9,4,0,-,6.0,0,0,,,bat,Pakistan,1,Harare Sports Club,2011,09,Zimbabwe_Pakistan_2011-09-18,Pakistan,Pakistan,Zimbabwe,True,141
6,Asad Shafiq,KM Jarvis,Mohammad Hafeez,0,0,0,10,,1,3,0,-,1.0,1,0,,,bat,Pakistan,1,Harare Sports Club,2011,09,Zimbabwe_Pakistan_2011-09-18,Pakistan,Pakistan,Zimbabwe,True,141
7,Asad Shafiq,KM Jarvis,Mohammad Hafeez,1,0,1,11,,2,4,0,-,2.0,1,0,,,bat,Pakistan,1,Harare Sports Club,2011,09,Zimbabwe_Pakistan_2011-09-18,Pakistan,Pakistan,Zimbabwe,True,141
8,Mohammad Hafeez,KM Jarvis,Asad Shafiq,0,0,0,11,,9,5,0,-,3.0,1,0,,,bat,Pakistan,1,Harare Sports Club,2011,09,Zimbabwe_Pakistan_2011-09-18,Pakistan,Pakistan,Zimbabwe,True,141
9,Mohammad Hafeez,KM Jarvis,Asad Shafiq,1,0,1,12,,10,6,0,-,4.0,1,0,,,bat,Pakistan,1,Harare Sports Club,2011,09,Zimbabwe_Pakistan_2011-09-18,Pakistan,Pakistan,Zimbabwe,True,141
