,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,P Nissanka,R Ngarava,BKG Mendis,,2,0,2,2,141,2,1,0,1,0,,,1,-,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Sri Lanka,Zimbabwe,144
1,P Nissanka,R Ngarava,BKG Mendis,,0,0,0,2,141,2,2,0,2,0,,,1,-,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Sri Lanka,Zimbabwe,144
2,P Nissanka,R Ngarava,BKG Mendis,,0,0,0,2,141,2,3,1,3,caught,P Nissanka,WP Masakadza,1,-,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Sri Lanka,Zimbabwe,144
3,MDKJ Perera,R Ngarava,BKG Mendis,"{'by': 'Zimbabwe', 'umpire': 'RSA Palliyaguruge', 'batter': 'MDKJ Perera', 'decision': 'struck down', 'type': 'wicket', 'umpires_call': True}",0,0,0,2,141,0,1,1,4,0,,,1,-,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Sri Lanka,Zimbabwe,144
4,MDKJ Perera,R Ngarava,BKG Mendis,,0,0,0,2,141,0,2,1,5,0,,,1,-,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Sri Lanka,Zimbabwe,144
5,MDKJ Perera,R Ngarava,BKG Mendis,,0,0,0,2,141,0,3,1,6,0,,,1,-,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Sri Lanka,Zimbabwe,144
6,BKG Mendis,B Muzarabani,MDKJ Perera,,0,0,0,2,141,0,1,1,1,0,,,2,-,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Sri Lanka,Zimbabwe,144
7,BKG Mendis,B Muzarabani,MDKJ Perera,,0,0,0,2,141,0,2,1,2,0,,,2,-,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Sri Lanka,Zimbabwe,144
8,BKG Mendis,B Muzarabani,MDKJ Perera,,0,0,0,2,141,0,3,1,3,0,,,2,-,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Sri Lanka,Zimbabwe,144
9,BKG Mendis,B Muzarabani,MDKJ Perera,,1,0,1,3,140,1,4,1,4,0,,,2,-,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2024,01,Zimbabwe_Sri Lanka_2024-01-14,Sri Lanka,Sri Lanka,Zimbabwe,144
