,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,Mohammad Naim,Mohammad Nawaz,Saif Hassan,0,0,0,0,191,0,1,0,1,-,0,0,,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Bangladesh,Pakistan,127
1,Mohammad Naim,Mohammad Nawaz,Saif Hassan,1,0,1,1,190,1,2,0,2,-,0,0,,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Bangladesh,Pakistan,127
2,Saif Hassan,Mohammad Nawaz,Mohammad Naim,0,0,0,1,190,0,1,0,3,-,0,0,,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Bangladesh,Pakistan,127
3,Saif Hassan,Mohammad Nawaz,Mohammad Naim,0,0,0,1,190,0,2,0,4,-,0,0,,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Bangladesh,Pakistan,127
4,Saif Hassan,Mohammad Nawaz,Mohammad Naim,0,0,0,1,190,0,3,0,5,-,0,0,,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Bangladesh,Pakistan,127
5,Saif Hassan,Mohammad Nawaz,Mohammad Naim,0,1,1,2,189,0,4,0,6,wides,0,0,,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Bangladesh,Pakistan,127
6,Saif Hassan,Mohammad Nawaz,Mohammad Naim,0,0,0,2,189,0,5,0,7,-,0,0,,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Bangladesh,Pakistan,127
7,Mohammad Naim,Hasan Ali,Saif Hassan,0,1,1,3,188,1,3,0,1,wides,1,0,,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Bangladesh,Pakistan,127
8,Mohammad Naim,Hasan Ali,Saif Hassan,0,0,0,3,188,1,4,1,2,-,1,caught,Mohammad Naim,Mohammad Rizwan,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Bangladesh,Pakistan,127
9,Nazmul Hossain Shanto,Hasan Ali,Saif Hassan,0,0,0,3,188,0,1,1,3,-,1,0,,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Bangladesh,Pakistan,127
