,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,Liton Das,SM Curran,Rony Talukdar,0,0,0,0,156,0,1,0,1,1,-,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
1,Liton Das,SM Curran,Rony Talukdar,4,0,4,4,152,4,2,0,2,1,-,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
2,Liton Das,SM Curran,Rony Talukdar,1,0,1,5,151,5,3,0,3,1,-,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
3,Rony Talukdar,SM Curran,Liton Das,4,0,4,9,147,4,1,0,4,1,-,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
4,Rony Talukdar,SM Curran,Liton Das,1,0,1,10,146,5,2,0,5,1,-,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
5,Liton Das,SM Curran,Rony Talukdar,0,0,0,10,146,5,4,0,6,1,-,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
6,Rony Talukdar,CR Woakes,Liton Das,0,0,0,10,146,5,3,0,1,2,-,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
7,Rony Talukdar,CR Woakes,Liton Das,2,0,2,12,144,7,4,0,2,2,-,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
8,Rony Talukdar,CR Woakes,Liton Das,4,0,4,16,140,11,5,0,3,2,-,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
9,Rony Talukdar,CR Woakes,Liton Das,0,0,0,16,140,11,6,0,4,2,-,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
10,Rony Talukdar,CR Woakes,Liton Das,4,0,4,20,136,15,7,0,5,2,-,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
11,Rony Talukdar,CR Woakes,Liton Das,1,0,1,21,135,16,8,0,6,2,-,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
12,Rony Talukdar,JC Archer,Liton Das,0,0,0,21,135,16,9,0,1,3,-,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
13,Rony Talukdar,JC Archer,Liton Das,0,0,0,21,135,16,10,0,2,3,-,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
14,Rony Talukdar,JC Archer,Liton Das,1,0,1,22,134,17,11,0,3,3,-,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
15,Liton Das,JC Archer,Rony Talukdar,4,0,4,26,130,9,5,0,4,3,-,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
16,Liton Das,JC Archer,Rony Talukdar,0,1,1,27,129,9,6,0,5,3,wides,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
17,Liton Das,JC Archer,Rony Talukdar,1,0,1,28,128,10,7,0,6,3,-,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
18,Rony Talukdar,JC Archer,Liton Das,4,0,4,32,124,21,12,0,7,3,-,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
19,Liton Das,AU Rashid,Rony Talukdar,1,0,1,33,123,11,8,0,1,4,-,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
20,Rony Talukdar,AU Rashid,Liton Das,0,0,0,33,123,21,13,0,2,4,-,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
21,Rony Talukdar,AU Rashid,Liton Das,0,0,0,33,123,21,14,1,3,4,-,,bowled,Rony Talukdar,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
22,Nazmul Hossain Shanto,AU Rashid,Liton Das,0,0,0,33,123,0,1,1,4,4,-,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
23,Nazmul Hossain Shanto,AU Rashid,Liton Das,0,0,0,33,123,0,2,1,5,4,-,"{'by': 'Bangladesh', 'umpire': 'Masudur Rahman', 'batter': 'Nazmul Hossain Shanto', 'decision': 'upheld'}",0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
24,Nazmul Hossain Shanto,AU Rashid,Liton Das,4,0,4,37,119,4,3,1,6,4,-,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
25,Liton Das,JC Archer,Nazmul Hossain Shanto,1,0,1,38,118,12,9,1,1,5,-,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England
