,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,Liton Das,SM Curran,Rony Talukdar,0,0,0,0,156,0,1,0,-,1.0,0,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England,True,158,Right hand Bat,Right hand Bat,Left arm Medium
1,Liton Das,SM Curran,Rony Talukdar,4,0,4,4,152,4,2,0,-,2.0,0,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England,True,158,Right hand Bat,Right hand Bat,Left arm Medium
2,Liton Das,SM Curran,Rony Talukdar,1,0,1,5,151,5,3,0,-,3.0,0,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England,True,158,Right hand Bat,Right hand Bat,Left arm Medium
3,Rony Talukdar,SM Curran,Liton Das,4,0,4,9,147,4,1,0,-,4.0,0,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England,True,158,Right hand Bat,Right hand Bat,Left arm Medium
4,Rony Talukdar,SM Curran,Liton Das,1,0,1,10,146,5,2,0,-,5.0,0,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England,True,158,Right hand Bat,Right hand Bat,Left arm Medium
5,Liton Das,SM Curran,Rony Talukdar,0,0,0,10,146,5,4,0,-,6.0,0,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England,True,158,Right hand Bat,Right hand Bat,Left arm Medium
6,Rony Talukdar,CR Woakes,Liton Das,0,0,0,10,146,5,3,0,-,1.0,1,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England,True,158,Right hand Bat,Right hand Bat,Right arm Fast
7,Rony Talukdar,CR Woakes,Liton Das,2,0,2,12,144,7,4,0,-,2.0,1,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England,True,158,Right hand Bat,Right hand Bat,Right arm Fast
8,Rony Talukdar,CR Woakes,Liton Das,4,0,4,16,140,11,5,0,-,3.0,1,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England,True,158,Right hand Bat,Right hand Bat,Right arm Fast
9,Rony Talukdar,CR Woakes,Liton Das,0,0,0,16,140,11,6,0,-,4.0,1,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England,True,158,Right hand Bat,Right hand Bat,Right arm Fast
10,Rony Talukdar,CR Woakes,Liton Das,4,0,4,20,136,15,7,0,-,5.0,1,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England,True,158,Right hand Bat,Right hand Bat,Right arm Fast
11,Rony Talukdar,CR Woakes,Liton Das,1,0,1,21,135,16,8,0,-,6.0,1,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England,True,158,Right hand Bat,Right hand Bat,Right arm Fast
12,Rony Talukdar,JC Archer,Liton Das,0,0,0,21,135,16,9,0,-,1.0,2,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England,True,158,Right hand Bat,Right hand Bat,Right arm Fast
13,Rony Talukdar,JC Archer,Liton Das,0,0,0,21,135,16,10,0,-,2.0,2,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England,True,158,Right hand Bat,Right hand Bat,Right arm Fast
14,Rony Talukdar,JC Archer,Liton Das,1,0,1,22,134,17,11,0,-,3.0,2,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England,True,158,Right hand Bat,Right hand Bat,Right arm Fast
15,Liton Das,JC Archer,Rony Talukdar,4,0,4,26,130,9,5,0,-,4.0,2,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England,True,158,Right hand Bat,Right hand Bat,Right arm Fast
16,Liton Das,JC Archer,Rony Talukdar,0,1,1,27,129,9,6,0,wides,4.0,2,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England,True,158,Right hand Bat,Right hand Bat,Right arm Fast
17,Liton Das,JC Archer,Rony Talukdar,1,0,1,28,128,10,7,0,-,5.0,2,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England,True,158,Right hand Bat,Right hand Bat,Right arm Fast
18,Rony Talukdar,JC Archer,Liton Das,4,0,4,32,124,21,12,0,-,6.0,2,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England,True,158,Right hand Bat,Right hand Bat,Right arm Fast
19,Liton Das,AU Rashid,Rony Talukdar,1,0,1,33,123,11,8,0,-,1.0,3,,0,,,field,Bangladesh,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,Bangladesh,England,True,158,Right hand Bat,Right hand Bat,Right arm Legbreak
