,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,RG Sharma,OC McCoy,SA Yadav,1,0,1,1,163,1,1,0,-,1.0,0,0,,,,field,India,2,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,India,West Indies,True,165,Right hand Bat,Right hand Bat,Left arm Fast
1,SA Yadav,OC McCoy,RG Sharma,4,0,4,5,159,4,1,0,-,2.0,0,0,,,,field,India,2,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,India,West Indies,True,165,Right hand Bat,Right hand Bat,Left arm Fast
2,SA Yadav,OC McCoy,RG Sharma,0,0,0,5,159,4,2,0,-,3.0,0,0,,,,field,India,2,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,India,West Indies,True,165,Right hand Bat,Right hand Bat,Left arm Fast
3,SA Yadav,OC McCoy,RG Sharma,0,0,0,5,159,4,3,0,-,4.0,0,0,,,,field,India,2,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,India,West Indies,True,165,Right hand Bat,Right hand Bat,Left arm Fast
4,SA Yadav,OC McCoy,RG Sharma,4,0,4,9,155,8,4,0,-,5.0,0,0,,,,field,India,2,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,India,West Indies,True,165,Right hand Bat,Right hand Bat,Left arm Fast
5,SA Yadav,OC McCoy,RG Sharma,0,0,0,9,155,8,5,0,-,6.0,0,0,,,,field,India,2,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,India,West Indies,True,165,Right hand Bat,Right hand Bat,Left arm Fast
6,RG Sharma,AS Joseph,SA Yadav,6,0,6,15,149,7,2,0,-,1.0,1,0,,,,field,India,2,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,India,West Indies,True,165,Right hand Bat,Right hand Bat,Right arm Fast
7,RG Sharma,AS Joseph,SA Yadav,0,0,0,15,149,7,3,0,-,2.0,1,0,,,,field,India,2,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,India,West Indies,True,165,Right hand Bat,Right hand Bat,Right arm Fast
8,RG Sharma,AS Joseph,SA Yadav,4,0,4,19,145,11,4,0,-,3.0,1,0,,,,field,India,2,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,India,West Indies,True,165,Right hand Bat,Right hand Bat,Right arm Fast
9,RG Sharma,AS Joseph,SA Yadav,0,0,0,19,145,11,5,1,-,4.0,1,retired hurt,RG Sharma,,,field,India,2,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,India,West Indies,True,165,Right hand Bat,Right hand Bat,Right arm Fast
