,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,AJ Finch,SL Malinga,DA Warner,0,0,0,0,142,0,1,0,-,1.0,0,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Right hand Bat,Left hand Bat,Right arm Fast
1,AJ Finch,SL Malinga,DA Warner,0,0,0,0,142,0,2,0,-,2.0,0,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Right hand Bat,Left hand Bat,Right arm Fast
2,AJ Finch,SL Malinga,DA Warner,1,0,1,1,141,1,3,0,-,3.0,0,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Right hand Bat,Left hand Bat,Right arm Fast
3,DA Warner,SL Malinga,AJ Finch,0,0,0,1,141,0,1,0,-,4.0,0,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Left hand Bat,Right hand Bat,Right arm Fast
4,DA Warner,SL Malinga,AJ Finch,2,0,2,3,139,2,2,0,-,5.0,0,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Left hand Bat,Right hand Bat,Right arm Fast
5,DA Warner,SL Malinga,AJ Finch,0,0,0,3,139,2,3,0,-,6.0,0,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Left hand Bat,Right hand Bat,Right arm Fast
6,AJ Finch,CBRLS Kumara,DA Warner,0,1,1,4,138,1,4,0,legbyes,1.0,1,"{'by': 'Sri Lanka', 'umpire': 'SAJ Craig', 'batter': 'AJ Finch', 'decision': 'struck down', 'umpires_call': True}",0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Right hand Bat,Left hand Bat,Right arm Fast
7,DA Warner,CBRLS Kumara,AJ Finch,0,0,0,4,138,2,4,0,-,2.0,1,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Left hand Bat,Right hand Bat,Right arm Fast
8,DA Warner,CBRLS Kumara,AJ Finch,0,0,0,4,138,2,5,0,-,3.0,1,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Left hand Bat,Right hand Bat,Right arm Fast
9,DA Warner,CBRLS Kumara,AJ Finch,4,0,4,8,134,6,6,0,-,4.0,1,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Left hand Bat,Right hand Bat,Right arm Fast
10,DA Warner,CBRLS Kumara,AJ Finch,1,0,1,9,133,7,7,0,-,5.0,1,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Left hand Bat,Right hand Bat,Right arm Fast
11,AJ Finch,CBRLS Kumara,DA Warner,6,0,6,15,127,7,5,0,-,6.0,1,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Right hand Bat,Left hand Bat,Right arm Fast
12,DA Warner,SL Malinga,AJ Finch,0,0,0,15,127,7,8,0,-,1.0,2,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Left hand Bat,Right hand Bat,Right arm Fast
13,DA Warner,SL Malinga,AJ Finch,4,0,4,19,123,11,9,0,-,2.0,2,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Left hand Bat,Right hand Bat,Right arm Fast
14,DA Warner,SL Malinga,AJ Finch,0,0,0,19,123,11,10,0,-,3.0,2,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Left hand Bat,Right hand Bat,Right arm Fast
15,DA Warner,SL Malinga,AJ Finch,0,0,0,19,123,11,11,0,-,4.0,2,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Left hand Bat,Right hand Bat,Right arm Fast
16,DA Warner,SL Malinga,AJ Finch,0,0,0,19,123,11,12,0,-,5.0,2,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Left hand Bat,Right hand Bat,Right arm Fast
17,DA Warner,SL Malinga,AJ Finch,1,0,1,20,122,12,13,0,-,6.0,2,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Left hand Bat,Right hand Bat,Right arm Fast
18,DA Warner,N Pradeep,AJ Finch,0,1,1,21,121,12,14,0,legbyes,1.0,3,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Left hand Bat,Right hand Bat,Right arm Fast
19,AJ Finch,N Pradeep,DA Warner,0,0,0,21,121,7,6,0,-,2.0,3,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Right hand Bat,Left hand Bat,Right arm Fast
20,AJ Finch,N Pradeep,DA Warner,3,0,3,24,118,10,7,0,-,3.0,3,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Right hand Bat,Left hand Bat,Right arm Fast
21,DA Warner,N Pradeep,AJ Finch,1,0,1,25,117,13,15,0,-,4.0,3,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Left hand Bat,Right hand Bat,Right arm Fast
22,AJ Finch,N Pradeep,DA Warner,1,0,1,26,116,11,8,0,-,5.0,3,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Right hand Bat,Left hand Bat,Right arm Fast
23,DA Warner,N Pradeep,AJ Finch,1,0,1,27,115,14,16,0,-,6.0,3,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Left hand Bat,Right hand Bat,Right arm Fast
24,DA Warner,CBRLS Kumara,AJ Finch,1,0,1,28,114,15,17,0,-,1.0,4,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Left hand Bat,Right hand Bat,Right arm Fast
25,AJ Finch,CBRLS Kumara,DA Warner,0,0,0,28,114,11,9,0,-,2.0,4,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Right hand Bat,Left hand Bat,Right arm Fast
26,AJ Finch,CBRLS Kumara,DA Warner,4,0,4,32,110,15,10,0,-,3.0,4,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Right hand Bat,Left hand Bat,Right arm Fast
27,AJ Finch,CBRLS Kumara,DA Warner,1,0,1,33,109,16,11,0,-,4.0,4,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Right hand Bat,Left hand Bat,Right arm Fast
28,DA Warner,CBRLS Kumara,AJ Finch,1,0,1,34,108,16,18,0,-,5.0,4,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Left hand Bat,Right hand Bat,Right arm Fast
29,AJ Finch,CBRLS Kumara,DA Warner,0,0,0,34,108,16,12,0,-,6.0,4,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Right hand Bat,Left hand Bat,Right arm Fast
30,DA Warner,N Pradeep,AJ Finch,0,0,0,34,108,16,19,0,-,1.0,5,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Left hand Bat,Right hand Bat,Right arm Fast
31,DA Warner,N Pradeep,AJ Finch,1,0,1,35,107,17,20,0,-,2.0,5,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Left hand Bat,Right hand Bat,Right arm Fast
32,AJ Finch,N Pradeep,DA Warner,0,1,1,36,106,16,13,0,legbyes,3.0,5,,0,,,field,Australia,2,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Australia,Sri Lanka,True,145,Right hand Bat,Left hand Bat,Right arm Fast
