,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,SF Mire,Mohammad Nawaz (3),CJ Chibhabha,0,0,0,0,182,0,1,0,-,1.0,0,,,0,field,Zimbabwe,2,Harare Sports Club,2018,07,Pakistan_Zimbabwe_2018-07-01,Pakistan,Zimbabwe,Pakistan,False,108,Right hand Bat,Right hand Bat,Left arm Orthodox
1,SF Mire,Mohammad Nawaz (3),CJ Chibhabha,0,0,0,0,182,0,2,0,-,2.0,0,,,0,field,Zimbabwe,2,Harare Sports Club,2018,07,Pakistan_Zimbabwe_2018-07-01,Pakistan,Zimbabwe,Pakistan,False,108,Right hand Bat,Right hand Bat,Left arm Orthodox
2,SF Mire,Mohammad Nawaz (3),CJ Chibhabha,1,0,1,1,181,1,3,0,-,3.0,0,,,0,field,Zimbabwe,2,Harare Sports Club,2018,07,Pakistan_Zimbabwe_2018-07-01,Pakistan,Zimbabwe,Pakistan,False,108,Right hand Bat,Right hand Bat,Left arm Orthodox
3,CJ Chibhabha,Mohammad Nawaz (3),SF Mire,0,0,0,1,181,0,1,0,-,4.0,0,,,0,field,Zimbabwe,2,Harare Sports Club,2018,07,Pakistan_Zimbabwe_2018-07-01,Pakistan,Zimbabwe,Pakistan,False,108,Right hand Bat,Right hand Bat,Left arm Orthodox
4,CJ Chibhabha,Mohammad Nawaz (3),SF Mire,0,0,0,1,181,0,2,0,-,5.0,0,,,0,field,Zimbabwe,2,Harare Sports Club,2018,07,Pakistan_Zimbabwe_2018-07-01,Pakistan,Zimbabwe,Pakistan,False,108,Right hand Bat,Right hand Bat,Left arm Orthodox
5,CJ Chibhabha,Mohammad Nawaz (3),SF Mire,0,0,0,1,181,0,3,1,-,6.0,lbw,CJ Chibhabha,,0,field,Zimbabwe,2,Harare Sports Club,2018,07,Pakistan_Zimbabwe_2018-07-01,Pakistan,Zimbabwe,Pakistan,False,108,Right hand Bat,Right hand Bat,Left arm Orthodox
6,SF Mire,Usman Shinwari,H Masakadza,0,0,0,1,181,1,4,1,-,1.0,0,,,1,field,Zimbabwe,2,Harare Sports Club,2018,07,Pakistan_Zimbabwe_2018-07-01,Pakistan,Zimbabwe,Pakistan,False,108,Right hand Bat,Right hand Bat,Left arm Medium
7,SF Mire,Usman Shinwari,H Masakadza,0,0,0,1,181,1,5,1,-,2.0,0,,,1,field,Zimbabwe,2,Harare Sports Club,2018,07,Pakistan_Zimbabwe_2018-07-01,Pakistan,Zimbabwe,Pakistan,False,108,Right hand Bat,Right hand Bat,Left arm Medium
8,SF Mire,Usman Shinwari,H Masakadza,4,0,4,5,177,5,6,1,-,3.0,0,,,1,field,Zimbabwe,2,Harare Sports Club,2018,07,Pakistan_Zimbabwe_2018-07-01,Pakistan,Zimbabwe,Pakistan,False,108,Right hand Bat,Right hand Bat,Left arm Medium
9,SF Mire,Usman Shinwari,H Masakadza,0,0,0,5,177,5,7,1,-,4.0,0,,,1,field,Zimbabwe,2,Harare Sports Club,2018,07,Pakistan_Zimbabwe_2018-07-01,Pakistan,Zimbabwe,Pakistan,False,108,Right hand Bat,Right hand Bat,Left arm Medium
10,SF Mire,Usman Shinwari,H Masakadza,0,0,0,5,177,5,8,1,-,5.0,0,,,1,field,Zimbabwe,2,Harare Sports Club,2018,07,Pakistan_Zimbabwe_2018-07-01,Pakistan,Zimbabwe,Pakistan,False,108,Right hand Bat,Right hand Bat,Left arm Medium
11,SF Mire,Usman Shinwari,H Masakadza,0,0,0,5,177,5,9,1,-,6.0,0,,,1,field,Zimbabwe,2,Harare Sports Club,2018,07,Pakistan_Zimbabwe_2018-07-01,Pakistan,Zimbabwe,Pakistan,False,108,Right hand Bat,Right hand Bat,Left arm Medium
12,H Masakadza,Mohammad Nawaz (3),SF Mire,1,0,1,6,176,1,1,1,-,1.0,0,,,2,field,Zimbabwe,2,Harare Sports Club,2018,07,Pakistan_Zimbabwe_2018-07-01,Pakistan,Zimbabwe,Pakistan,False,108,Right hand Bat,Right hand Bat,Left arm Orthodox
13,SF Mire,Mohammad Nawaz (3),H Masakadza,0,0,0,6,176,5,10,1,-,2.0,0,,,2,field,Zimbabwe,2,Harare Sports Club,2018,07,Pakistan_Zimbabwe_2018-07-01,Pakistan,Zimbabwe,Pakistan,False,108,Right hand Bat,Right hand Bat,Left arm Orthodox
14,SF Mire,Mohammad Nawaz (3),H Masakadza,0,0,0,6,176,5,11,1,-,3.0,0,,,2,field,Zimbabwe,2,Harare Sports Club,2018,07,Pakistan_Zimbabwe_2018-07-01,Pakistan,Zimbabwe,Pakistan,False,108,Right hand Bat,Right hand Bat,Left arm Orthodox
15,SF Mire,Mohammad Nawaz (3),H Masakadza,1,0,1,7,175,6,12,1,-,4.0,0,,,2,field,Zimbabwe,2,Harare Sports Club,2018,07,Pakistan_Zimbabwe_2018-07-01,Pakistan,Zimbabwe,Pakistan,False,108,Right hand Bat,Right hand Bat,Left arm Orthodox
16,H Masakadza,Mohammad Nawaz (3),SF Mire,0,0,0,7,175,1,2,1,-,5.0,0,,,2,field,Zimbabwe,2,Harare Sports Club,2018,07,Pakistan_Zimbabwe_2018-07-01,Pakistan,Zimbabwe,Pakistan,False,108,Right hand Bat,Right hand Bat,Left arm Orthodox
17,H Masakadza,Mohammad Nawaz (3),SF Mire,0,0,0,7,175,1,3,1,-,6.0,0,,,2,field,Zimbabwe,2,Harare Sports Club,2018,07,Pakistan_Zimbabwe_2018-07-01,Pakistan,Zimbabwe,Pakistan,False,108,Right hand Bat,Right hand Bat,Left arm Orthodox
18,SF Mire,Faheem Ashraf,H Masakadza,0,1,1,8,174,6,12,1,wides,0.0,0,,,3,field,Zimbabwe,2,Harare Sports Club,2018,07,Pakistan_Zimbabwe_2018-07-01,Pakistan,Zimbabwe,Pakistan,False,108,Right hand Bat,Right hand Bat,Right arm Medium
19,SF Mire,Faheem Ashraf,H Masakadza,0,0,0,8,174,6,13,1,-,1.0,0,,,3,field,Zimbabwe,2,Harare Sports Club,2018,07,Pakistan_Zimbabwe_2018-07-01,Pakistan,Zimbabwe,Pakistan,False,108,Right hand Bat,Right hand Bat,Right arm Medium
20,SF Mire,Faheem Ashraf,H Masakadza,0,0,0,8,174,6,14,1,-,2.0,0,,,3,field,Zimbabwe,2,Harare Sports Club,2018,07,Pakistan_Zimbabwe_2018-07-01,Pakistan,Zimbabwe,Pakistan,False,108,Right hand Bat,Right hand Bat,Right arm Medium
21,SF Mire,Faheem Ashraf,H Masakadza,0,0,0,8,174,6,15,1,-,3.0,0,,,3,field,Zimbabwe,2,Harare Sports Club,2018,07,Pakistan_Zimbabwe_2018-07-01,Pakistan,Zimbabwe,Pakistan,False,108,Right hand Bat,Right hand Bat,Right arm Medium
