,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,review,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,JC Buttler,Shaheen Shah Afridi,AD Hales,3,0,3,3,134,3,1,0,-,1.0,0,,,0,,,field,England,2,Melbourne Cricket Ground,2022,11,Pakistan_England_2022-11-13,England,England,Pakistan,True,138,Right hand Bat,Right hand Bat,Left arm Fast
1,AD Hales,Shaheen Shah Afridi,JC Buttler,1,0,1,4,133,1,1,0,-,2.0,0,,,0,,,field,England,2,Melbourne Cricket Ground,2022,11,Pakistan_England_2022-11-13,England,England,Pakistan,True,138,Right hand Bat,Right hand Bat,Left arm Fast
2,JC Buttler,Shaheen Shah Afridi,AD Hales,2,0,2,6,131,5,2,0,-,3.0,0,,,0,,,field,England,2,Melbourne Cricket Ground,2022,11,Pakistan_England_2022-11-13,England,England,Pakistan,True,138,Right hand Bat,Right hand Bat,Left arm Fast
3,JC Buttler,Shaheen Shah Afridi,AD Hales,0,0,0,6,131,5,3,0,-,4.0,0,,,0,,,field,England,2,Melbourne Cricket Ground,2022,11,Pakistan_England_2022-11-13,England,England,Pakistan,True,138,Right hand Bat,Right hand Bat,Left arm Fast
4,JC Buttler,Shaheen Shah Afridi,AD Hales,1,0,1,7,130,6,4,0,-,5.0,0,,,0,,,field,England,2,Melbourne Cricket Ground,2022,11,Pakistan_England_2022-11-13,England,England,Pakistan,True,138,Right hand Bat,Right hand Bat,Left arm Fast
5,AD Hales,Shaheen Shah Afridi,JC Buttler,0,0,0,7,130,1,2,1,-,6.0,bowled,AD Hales,,0,,,field,England,2,Melbourne Cricket Ground,2022,11,Pakistan_England_2022-11-13,England,England,Pakistan,True,138,Right hand Bat,Right hand Bat,Left arm Fast
6,JC Buttler,Naseem Shah,PD Salt,0,0,0,7,130,6,5,1,-,1.0,0,,,1,,,field,England,2,Melbourne Cricket Ground,2022,11,Pakistan_England_2022-11-13,England,England,Pakistan,True,138,Right hand Bat,Right hand Bat,Right arm Fast
7,JC Buttler,Naseem Shah,PD Salt,4,0,4,11,126,10,6,1,-,2.0,0,,,1,,,field,England,2,Melbourne Cricket Ground,2022,11,Pakistan_England_2022-11-13,England,England,Pakistan,True,138,Right hand Bat,Right hand Bat,Right arm Fast
8,JC Buttler,Naseem Shah,PD Salt,4,0,4,15,122,14,7,1,-,3.0,0,,,1,,,field,England,2,Melbourne Cricket Ground,2022,11,Pakistan_England_2022-11-13,England,England,Pakistan,True,138,Right hand Bat,Right hand Bat,Right arm Fast
9,JC Buttler,Naseem Shah,PD Salt,1,0,1,16,121,15,8,1,-,4.0,0,,,1,,,field,England,2,Melbourne Cricket Ground,2022,11,Pakistan_England_2022-11-13,England,England,Pakistan,True,138,Right hand Bat,Right hand Bat,Right arm Fast
10,PD Salt,Naseem Shah,JC Buttler,4,0,4,20,117,4,1,1,-,5.0,0,,,1,,,field,England,2,Melbourne Cricket Ground,2022,11,Pakistan_England_2022-11-13,England,England,Pakistan,True,138,Right hand Bat,Right hand Bat,Right arm Fast
11,PD Salt,Naseem Shah,JC Buttler,1,0,1,21,116,5,2,1,-,6.0,0,,,1,,,field,England,2,Melbourne Cricket Ground,2022,11,Pakistan_England_2022-11-13,England,England,Pakistan,True,138,Right hand Bat,Right hand Bat,Right arm Fast
12,PD Salt,Shaheen Shah Afridi,JC Buttler,0,0,0,21,116,5,3,1,-,1.0,0,,,2,,,field,England,2,Melbourne Cricket Ground,2022,11,Pakistan_England_2022-11-13,England,England,Pakistan,True,138,Right hand Bat,Right hand Bat,Left arm Fast
13,PD Salt,Shaheen Shah Afridi,JC Buttler,0,1,1,22,115,5,4,1,legbyes,2.0,0,,,2,"{'by': 'Pakistan', 'umpire': 'HDPK Dharmasena', 'batter': 'PD Salt', 'decision': 'struck down', 'umpires_call': True}",,field,England,2,Melbourne Cricket Ground,2022,11,Pakistan_England_2022-11-13,England,England,Pakistan,True,138,Right hand Bat,Right hand Bat,Left arm Fast
14,JC Buttler,Shaheen Shah Afridi,PD Salt,4,0,4,26,111,19,9,1,-,3.0,0,,,2,,,field,England,2,Melbourne Cricket Ground,2022,11,Pakistan_England_2022-11-13,England,England,Pakistan,True,138,Right hand Bat,Right hand Bat,Left arm Fast
15,JC Buttler,Shaheen Shah Afridi,PD Salt,1,0,1,27,110,20,10,1,-,4.0,0,,,2,,,field,England,2,Melbourne Cricket Ground,2022,11,Pakistan_England_2022-11-13,England,England,Pakistan,True,138,Right hand Bat,Right hand Bat,Left arm Fast
16,PD Salt,Shaheen Shah Afridi,JC Buttler,0,0,0,27,110,5,5,1,-,5.0,0,,,2,,,field,England,2,Melbourne Cricket Ground,2022,11,Pakistan_England_2022-11-13,England,England,Pakistan,True,138,Right hand Bat,Right hand Bat,Left arm Fast
17,PD Salt,Shaheen Shah Afridi,JC Buttler,1,0,1,28,109,6,6,1,-,6.0,0,,,2,,,field,England,2,Melbourne Cricket Ground,2022,11,Pakistan_England_2022-11-13,England,England,Pakistan,True,138,Right hand Bat,Right hand Bat,Left arm Fast
18,PD Salt,Haris Rauf,JC Buttler,4,0,4,32,105,10,7,1,-,1.0,0,,,3,,,field,England,2,Melbourne Cricket Ground,2022,11,Pakistan_England_2022-11-13,England,England,Pakistan,True,138,Right hand Bat,Right hand Bat,Right arm Fast
