,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,RE Levi,XJ Doherty,HM Amla,0,0,0,0,129,0,1,0,1,0,,,1,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
1,RE Levi,XJ Doherty,HM Amla,0,0,0,0,129,0,2,0,2,0,,,1,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
2,RE Levi,XJ Doherty,HM Amla,0,0,0,0,129,0,3,1,3,bowled,RE Levi,,1,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
3,JH Kallis,XJ Doherty,HM Amla,1,0,1,1,128,1,1,1,4,0,,,1,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
4,HM Amla,XJ Doherty,JH Kallis,1,0,1,2,127,1,1,1,5,0,,,1,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
5,JH Kallis,XJ Doherty,HM Amla,0,0,0,2,127,1,2,1,6,0,,,1,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
6,HM Amla,MA Starc,JH Kallis,0,0,0,2,127,1,2,1,1,0,,,2,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
7,HM Amla,MA Starc,JH Kallis,1,0,1,3,126,2,3,1,2,0,,,2,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
8,JH Kallis,MA Starc,HM Amla,0,0,0,3,126,1,3,1,3,0,,,2,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
9,JH Kallis,MA Starc,HM Amla,0,0,0,3,126,1,4,1,4,0,,,2,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
10,JH Kallis,MA Starc,HM Amla,4,0,4,7,122,5,5,1,5,0,,,2,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
11,JH Kallis,MA Starc,HM Amla,1,0,1,8,121,6,6,1,6,0,,,2,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
12,JH Kallis,XJ Doherty,HM Amla,0,0,0,8,121,6,7,2,1,caught,JH Kallis,MS Wade,3,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
13,JP Duminy,XJ Doherty,HM Amla,0,0,0,8,121,0,1,2,2,0,,,3,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
14,JP Duminy,XJ Doherty,HM Amla,1,0,1,9,120,1,2,2,3,0,,,3,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
15,HM Amla,XJ Doherty,JP Duminy,6,0,6,15,114,8,4,2,4,0,,,3,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
16,HM Amla,XJ Doherty,JP Duminy,0,0,0,15,114,8,5,2,5,0,,,3,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
17,HM Amla,XJ Doherty,JP Duminy,1,0,1,16,113,9,6,2,6,0,,,3,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
18,HM Amla,MA Starc,JP Duminy,0,0,0,16,113,9,7,2,1,0,,,4,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
19,HM Amla,MA Starc,JP Duminy,0,0,0,16,113,9,8,2,2,0,,,4,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
20,HM Amla,MA Starc,JP Duminy,1,0,1,17,112,10,9,2,3,0,,,4,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
21,JP Duminy,MA Starc,HM Amla,0,1,1,18,111,1,3,2,4,0,,,4,wides,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
22,JP Duminy,MA Starc,HM Amla,0,0,0,18,111,1,4,2,5,0,,,4,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
23,JP Duminy,MA Starc,HM Amla,0,0,0,18,111,1,5,2,6,0,,,4,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
24,JP Duminy,MA Starc,HM Amla,4,0,4,22,107,5,6,2,7,0,,,4,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
25,HM Amla,PJ Cummins,JP Duminy,1,0,1,23,106,11,10,2,1,0,,,5,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
26,JP Duminy,PJ Cummins,HM Amla,0,0,0,23,106,5,7,2,2,0,,,5,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
27,JP Duminy,PJ Cummins,HM Amla,1,0,1,24,105,6,8,2,3,0,,,5,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
28,HM Amla,PJ Cummins,JP Duminy,4,0,4,28,101,15,11,2,4,0,,,5,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
29,HM Amla,PJ Cummins,JP Duminy,1,0,1,29,100,16,12,2,5,0,,,5,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
30,JP Duminy,PJ Cummins,HM Amla,1,0,1,30,99,7,9,2,6,0,,,5,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
31,JP Duminy,SR Watson,HM Amla,1,0,1,31,98,8,10,2,1,0,,,6,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
32,HM Amla,SR Watson,JP Duminy,1,0,1,32,97,17,13,2,2,0,,,6,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
33,JP Duminy,SR Watson,HM Amla,1,0,1,33,96,9,11,2,3,0,,,6,-,field,Australia,1,R Premadasa Stadium,2012,09,Australia_South Africa_2012-09-30,Australia,South Africa,Australia
