,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Tamim Iqbal,Imad Wasim,Mohammad Naim,0,0,0,0,,0,1,0,1,0,-,0,,,,bat,Bangladesh,1,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Bangladesh,Pakistan,False,141
1,Tamim Iqbal,Imad Wasim,Mohammad Naim,0,0,0,0,,0,2,0,2,0,-,0,,,,bat,Bangladesh,1,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Bangladesh,Pakistan,False,141
2,Tamim Iqbal,Imad Wasim,Mohammad Naim,0,0,0,0,,0,3,0,3,0,-,0,,,,bat,Bangladesh,1,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Bangladesh,Pakistan,False,141
3,Tamim Iqbal,Imad Wasim,Mohammad Naim,0,0,0,0,,0,4,0,4,0,-,0,,,,bat,Bangladesh,1,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Bangladesh,Pakistan,False,141
4,Tamim Iqbal,Imad Wasim,Mohammad Naim,2,0,2,2,,2,5,0,5,0,-,0,,,,bat,Bangladesh,1,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Bangladesh,Pakistan,False,141
5,Tamim Iqbal,Imad Wasim,Mohammad Naim,0,0,0,2,,2,6,0,6,0,-,0,,,,bat,Bangladesh,1,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Bangladesh,Pakistan,False,141
6,Mohammad Naim,Shaheen Shah Afridi,Tamim Iqbal,0,0,0,2,,0,1,0,1,1,-,0,,,,bat,Bangladesh,1,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Bangladesh,Pakistan,False,141
7,Mohammad Naim,Shaheen Shah Afridi,Tamim Iqbal,0,0,0,2,,0,2,0,2,1,-,0,,,,bat,Bangladesh,1,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Bangladesh,Pakistan,False,141
8,Mohammad Naim,Shaheen Shah Afridi,Tamim Iqbal,4,0,4,6,,4,3,0,3,1,-,0,,,,bat,Bangladesh,1,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Bangladesh,Pakistan,False,141
9,Mohammad Naim,Shaheen Shah Afridi,Tamim Iqbal,0,0,0,6,,4,4,0,4,1,-,0,,,,bat,Bangladesh,1,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Bangladesh,Pakistan,False,141
10,Mohammad Naim,Shaheen Shah Afridi,Tamim Iqbal,0,0,0,6,,4,5,0,5,1,-,0,,,,bat,Bangladesh,1,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Bangladesh,Pakistan,False,141
11,Mohammad Naim,Shaheen Shah Afridi,Tamim Iqbal,4,0,4,10,,8,6,0,6,1,-,0,,,,bat,Bangladesh,1,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Bangladesh,Pakistan,False,141
12,Tamim Iqbal,Imad Wasim,Mohammad Naim,0,0,0,10,,2,7,0,1,2,-,0,,,,bat,Bangladesh,1,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Bangladesh,Pakistan,False,141
13,Tamim Iqbal,Imad Wasim,Mohammad Naim,4,0,4,14,,6,8,0,2,2,-,0,,,,bat,Bangladesh,1,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Bangladesh,Pakistan,False,141
