,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,CH Gayle,Mahedi Hasan,E Lewis,0,1,1,1,153,0,1,0,1,wides,1,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh
1,CH Gayle,Mahedi Hasan,E Lewis,0,0,0,1,153,0,2,0,2,-,1,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh
2,CH Gayle,Mahedi Hasan,E Lewis,0,0,0,1,153,0,3,0,3,-,1,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh
3,CH Gayle,Mahedi Hasan,E Lewis,1,0,1,2,152,1,4,0,4,-,1,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh
4,E Lewis,Mahedi Hasan,CH Gayle,0,0,0,2,152,0,1,0,5,-,1,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh
5,E Lewis,Mahedi Hasan,CH Gayle,1,0,1,3,151,1,2,0,6,-,1,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh
6,CH Gayle,Mahedi Hasan,E Lewis,1,0,1,4,150,2,5,0,7,-,1,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh
7,CH Gayle,Taskin Ahmed,E Lewis,0,0,0,4,150,2,6,0,1,-,2,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh
8,CH Gayle,Taskin Ahmed,E Lewis,1,0,1,5,149,3,7,0,2,-,2,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh
9,E Lewis,Taskin Ahmed,CH Gayle,0,0,0,5,149,1,3,0,3,-,2,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh
