,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,RV Uthappa,LL Tsotsobe,G Gambhir,0,0,0,0,219,0,1,0,1,-,1,0,field,India,2,New Wanderers Stadium,2012,03,South Africa_India_2012-03-30,South Africa,India,South Africa,71
1,RV Uthappa,LL Tsotsobe,G Gambhir,0,0,0,0,219,0,2,0,2,-,1,0,field,India,2,New Wanderers Stadium,2012,03,South Africa_India_2012-03-30,South Africa,India,South Africa,71
2,RV Uthappa,LL Tsotsobe,G Gambhir,1,0,1,1,218,1,3,0,3,-,1,0,field,India,2,New Wanderers Stadium,2012,03,South Africa_India_2012-03-30,South Africa,India,South Africa,71
3,G Gambhir,LL Tsotsobe,RV Uthappa,0,1,1,2,217,0,1,0,4,wides,1,0,field,India,2,New Wanderers Stadium,2012,03,South Africa_India_2012-03-30,South Africa,India,South Africa,71
4,G Gambhir,LL Tsotsobe,RV Uthappa,0,0,0,2,217,0,2,0,5,-,1,0,field,India,2,New Wanderers Stadium,2012,03,South Africa_India_2012-03-30,South Africa,India,South Africa,71
5,G Gambhir,LL Tsotsobe,RV Uthappa,0,3,3,5,214,0,3,0,6,legbyes,1,0,field,India,2,New Wanderers Stadium,2012,03,South Africa_India_2012-03-30,South Africa,India,South Africa,71
6,RV Uthappa,LL Tsotsobe,G Gambhir,2,0,2,7,212,3,4,0,7,-,1,0,field,India,2,New Wanderers Stadium,2012,03,South Africa_India_2012-03-30,South Africa,India,South Africa,71
7,G Gambhir,JA Morkel,RV Uthappa,0,0,0,7,212,0,4,0,1,-,2,0,field,India,2,New Wanderers Stadium,2012,03,South Africa_India_2012-03-30,South Africa,India,South Africa,71
8,G Gambhir,JA Morkel,RV Uthappa,4,0,4,11,208,4,5,0,2,-,2,0,field,India,2,New Wanderers Stadium,2012,03,South Africa_India_2012-03-30,South Africa,India,South Africa,71
9,G Gambhir,JA Morkel,RV Uthappa,6,0,6,17,202,10,6,0,3,-,2,0,field,India,2,New Wanderers Stadium,2012,03,South Africa_India_2012-03-30,South Africa,India,South Africa,71
