,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,WTS Porterfield,IK Pathan,JP Bray,0,1,1,1,127,0,1,0,1,wides,1,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
1,WTS Porterfield,IK Pathan,JP Bray,0,0,0,1,127,0,2,0,2,-,1,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
2,WTS Porterfield,IK Pathan,JP Bray,0,0,0,1,127,0,3,0,3,-,1,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
3,WTS Porterfield,IK Pathan,JP Bray,1,0,1,2,126,1,4,0,4,-,1,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
4,JP Bray,IK Pathan,WTS Porterfield,0,0,0,2,126,0,1,0,5,-,1,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
5,JP Bray,IK Pathan,WTS Porterfield,0,0,0,2,126,0,2,0,6,-,1,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
6,JP Bray,IK Pathan,WTS Porterfield,0,0,0,2,126,0,3,0,7,-,1,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
7,WTS Porterfield,Z Khan,JP Bray,0,0,0,2,126,1,5,0,1,-,2,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
8,WTS Porterfield,Z Khan,JP Bray,0,1,1,3,125,1,6,0,2,wides,2,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
9,WTS Porterfield,Z Khan,JP Bray,1,0,1,4,124,2,7,0,3,-,2,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
10,JP Bray,Z Khan,WTS Porterfield,0,0,0,4,124,0,4,0,4,-,2,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
11,JP Bray,Z Khan,WTS Porterfield,0,0,0,4,124,0,5,0,5,-,2,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
12,JP Bray,Z Khan,WTS Porterfield,0,0,0,4,124,0,6,0,6,-,2,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
13,JP Bray,Z Khan,WTS Porterfield,0,0,0,4,124,0,7,1,7,-,2,bowled,JP Bray,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
14,WTS Porterfield,IK Pathan,GC Wilson,2,0,2,6,122,4,8,1,1,-,3,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
15,WTS Porterfield,IK Pathan,GC Wilson,1,0,1,7,121,5,9,1,2,-,3,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
16,GC Wilson,IK Pathan,WTS Porterfield,0,0,0,7,121,0,1,1,3,-,3,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
17,GC Wilson,IK Pathan,WTS Porterfield,0,0,0,7,121,0,2,1,4,-,3,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
18,GC Wilson,IK Pathan,WTS Porterfield,0,0,0,7,121,0,3,1,5,-,3,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
19,GC Wilson,IK Pathan,WTS Porterfield,2,0,2,9,119,2,4,1,6,-,3,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
20,WTS Porterfield,Z Khan,GC Wilson,0,0,0,9,119,5,10,2,1,-,4,caught,WTS Porterfield,YK Pathan,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
21,AC Botha,Z Khan,GC Wilson,0,0,0,9,119,0,1,2,2,-,4,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
22,AC Botha,Z Khan,GC Wilson,2,0,2,11,117,2,2,2,3,-,4,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
23,AC Botha,Z Khan,GC Wilson,4,0,4,15,113,6,3,2,4,-,4,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
24,AC Botha,Z Khan,GC Wilson,2,0,2,17,111,8,4,2,5,-,4,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
25,AC Botha,Z Khan,GC Wilson,0,0,0,17,111,8,5,3,6,-,4,caught,AC Botha,YK Pathan,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
26,GC Wilson,I Sharma,KJ O'Brien,4,0,4,21,107,6,5,3,1,-,5,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
27,GC Wilson,I Sharma,KJ O'Brien,2,0,2,23,105,8,6,3,2,-,5,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
28,GC Wilson,I Sharma,KJ O'Brien,0,0,0,23,105,8,7,3,3,-,5,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
29,GC Wilson,I Sharma,KJ O'Brien,0,0,0,23,105,8,8,3,4,-,5,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
30,GC Wilson,I Sharma,KJ O'Brien,1,0,1,24,104,9,9,3,5,-,5,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
31,KJ O'Brien,I Sharma,GC Wilson,0,0,0,24,104,0,1,3,6,-,5,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
32,GC Wilson,Yuvraj Singh,KJ O'Brien,1,0,1,25,103,10,10,3,1,-,6,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
33,KJ O'Brien,Yuvraj Singh,GC Wilson,1,0,1,26,102,1,2,3,2,-,6,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
34,GC Wilson,Yuvraj Singh,KJ O'Brien,1,0,1,27,101,11,11,3,3,-,6,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
35,KJ O'Brien,Yuvraj Singh,GC Wilson,1,0,1,28,100,2,3,3,4,-,6,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
36,GC Wilson,Yuvraj Singh,KJ O'Brien,0,0,0,28,100,11,12,3,5,-,6,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
37,GC Wilson,Yuvraj Singh,KJ O'Brien,0,0,0,28,100,11,13,3,6,-,6,0,,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
38,KJ O'Brien,PP Ojha,GC Wilson,0,0,0,28,100,2,4,4,1,-,7,bowled,KJ O'Brien,,field,India,1,Trent Bridge,2009,06,India_Ireland_2009-06-10,India,Ireland,India
