,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,PR Stirling,Fazalhaq Farooqi,A Balbirnie,0,0,0,0,168,0,1,0,1,-,1,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-09,Ireland,Ireland,Afghanistan
1,PR Stirling,Fazalhaq Farooqi,A Balbirnie,1,0,1,1,167,1,2,0,2,-,1,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-09,Ireland,Ireland,Afghanistan
2,A Balbirnie,Fazalhaq Farooqi,PR Stirling,1,0,1,2,166,1,1,0,3,-,1,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-09,Ireland,Ireland,Afghanistan
3,PR Stirling,Fazalhaq Farooqi,A Balbirnie,0,0,0,2,166,1,3,0,4,-,1,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-09,Ireland,Ireland,Afghanistan
4,PR Stirling,Fazalhaq Farooqi,A Balbirnie,0,1,1,3,165,1,4,0,5,wides,1,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-09,Ireland,Ireland,Afghanistan
5,PR Stirling,Fazalhaq Farooqi,A Balbirnie,0,0,0,3,165,1,5,0,6,-,1,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-09,Ireland,Ireland,Afghanistan
6,PR Stirling,Fazalhaq Farooqi,A Balbirnie,0,0,0,3,165,1,6,0,7,-,1,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-09,Ireland,Ireland,Afghanistan
7,A Balbirnie,Mujeeb Ur Rahman,PR Stirling,0,0,0,3,165,1,2,0,1,-,2,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-09,Ireland,Ireland,Afghanistan
8,A Balbirnie,Mujeeb Ur Rahman,PR Stirling,6,0,6,9,159,7,3,0,2,-,2,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-09,Ireland,Ireland,Afghanistan
9,A Balbirnie,Mujeeb Ur Rahman,PR Stirling,0,0,0,9,159,7,4,0,3,-,2,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-09,Ireland,Ireland,Afghanistan
10,A Balbirnie,Mujeeb Ur Rahman,PR Stirling,1,0,1,10,158,8,5,0,4,-,2,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-09,Ireland,Ireland,Afghanistan
11,PR Stirling,Mujeeb Ur Rahman,A Balbirnie,4,0,4,14,154,5,7,0,5,-,2,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-09,Ireland,Ireland,Afghanistan
12,PR Stirling,Mujeeb Ur Rahman,A Balbirnie,0,0,0,14,154,5,8,0,6,-,2,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-09,Ireland,Ireland,Afghanistan
13,A Balbirnie,Fazalhaq Farooqi,PR Stirling,2,0,2,16,152,10,6,0,1,-,3,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-09,Ireland,Ireland,Afghanistan
14,A Balbirnie,Fazalhaq Farooqi,PR Stirling,4,0,4,20,148,14,7,0,2,-,3,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-09,Ireland,Ireland,Afghanistan
15,A Balbirnie,Fazalhaq Farooqi,PR Stirling,0,0,0,20,148,14,8,0,3,-,3,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-09,Ireland,Ireland,Afghanistan
16,A Balbirnie,Fazalhaq Farooqi,PR Stirling,1,0,1,21,147,15,9,0,4,-,3,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-09,Ireland,Ireland,Afghanistan
17,PR Stirling,Fazalhaq Farooqi,A Balbirnie,1,0,1,22,146,6,9,0,5,-,3,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-09,Ireland,Ireland,Afghanistan
18,A Balbirnie,Fazalhaq Farooqi,PR Stirling,4,0,4,26,142,19,10,0,6,-,3,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-09,Ireland,Ireland,Afghanistan
19,PR Stirling,Naveen-ul-Haq,A Balbirnie,0,0,0,26,142,6,10,0,1,-,4,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-09,Ireland,Ireland,Afghanistan
20,PR Stirling,Naveen-ul-Haq,A Balbirnie,0,0,0,26,142,6,11,0,2,-,4,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-09,Ireland,Ireland,Afghanistan
