,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,Sharjeel Khan,AJ Hosein,Mohammad Rizwan,0,0,0,0,199,0,1,0,1,1,-,0,,,,field,West Indies,1,"Providence Stadium, Guyana",2021,07,Pakistan_West Indies_2021-07-31,Pakistan,Pakistan,West Indies,157
1,Sharjeel Khan,AJ Hosein,Mohammad Rizwan,1,0,1,1,198,1,2,0,2,1,-,0,,,,field,West Indies,1,"Providence Stadium, Guyana",2021,07,Pakistan_West Indies_2021-07-31,Pakistan,Pakistan,West Indies,157
2,Mohammad Rizwan,AJ Hosein,Sharjeel Khan,1,0,1,2,197,1,1,0,3,1,-,0,,,,field,West Indies,1,"Providence Stadium, Guyana",2021,07,Pakistan_West Indies_2021-07-31,Pakistan,Pakistan,West Indies,157
3,Sharjeel Khan,AJ Hosein,Mohammad Rizwan,1,0,1,3,196,2,3,0,4,1,-,0,,,,field,West Indies,1,"Providence Stadium, Guyana",2021,07,Pakistan_West Indies_2021-07-31,Pakistan,Pakistan,West Indies,157
4,Mohammad Rizwan,AJ Hosein,Sharjeel Khan,1,0,1,4,195,2,2,0,5,1,-,0,,,,field,West Indies,1,"Providence Stadium, Guyana",2021,07,Pakistan_West Indies_2021-07-31,Pakistan,Pakistan,West Indies,157
5,Sharjeel Khan,AJ Hosein,Mohammad Rizwan,1,0,1,5,194,3,4,0,6,1,-,0,,,,field,West Indies,1,"Providence Stadium, Guyana",2021,07,Pakistan_West Indies_2021-07-31,Pakistan,Pakistan,West Indies,157
6,Sharjeel Khan,JO Holder,Mohammad Rizwan,0,0,0,5,194,3,5,0,1,2,-,0,,,,field,West Indies,1,"Providence Stadium, Guyana",2021,07,Pakistan_West Indies_2021-07-31,Pakistan,Pakistan,West Indies,157
7,Sharjeel Khan,JO Holder,Mohammad Rizwan,4,0,4,9,190,7,6,0,2,2,-,0,,,,field,West Indies,1,"Providence Stadium, Guyana",2021,07,Pakistan_West Indies_2021-07-31,Pakistan,Pakistan,West Indies,157
8,Sharjeel Khan,JO Holder,Mohammad Rizwan,0,0,0,9,190,7,7,0,3,2,-,0,,,,field,West Indies,1,"Providence Stadium, Guyana",2021,07,Pakistan_West Indies_2021-07-31,Pakistan,Pakistan,West Indies,157
9,Sharjeel Khan,JO Holder,Mohammad Rizwan,0,0,0,9,190,7,8,0,4,2,-,0,,,,field,West Indies,1,"Providence Stadium, Guyana",2021,07,Pakistan_West Indies_2021-07-31,Pakistan,Pakistan,West Indies,157
10,Sharjeel Khan,JO Holder,Mohammad Rizwan,0,0,0,9,190,7,9,0,5,2,-,0,,,,field,West Indies,1,"Providence Stadium, Guyana",2021,07,Pakistan_West Indies_2021-07-31,Pakistan,Pakistan,West Indies,157
