,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,R Ravindra,Nasum Ahmed,FH Allen,0,0,0,0,,0,1,0,-,1.0,0,,,0,,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,False,93,Left hand Bat,Right hand Bat,Left arm Orthodox
1,R Ravindra,Nasum Ahmed,FH Allen,0,0,0,0,,0,2,0,-,2.0,0,,,0,,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,False,93,Left hand Bat,Right hand Bat,Left arm Orthodox
2,R Ravindra,Nasum Ahmed,FH Allen,0,0,0,0,,0,3,0,-,3.0,0,,,0,,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,False,93,Left hand Bat,Right hand Bat,Left arm Orthodox
3,R Ravindra,Nasum Ahmed,FH Allen,0,0,0,0,,0,4,0,-,4.0,0,,,0,,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,False,93,Left hand Bat,Right hand Bat,Left arm Orthodox
4,R Ravindra,Nasum Ahmed,FH Allen,0,0,0,0,,0,5,1,-,5.0,caught,R Ravindra,Mohammad Saifuddin,0,,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,False,93,Left hand Bat,Right hand Bat,Left arm Orthodox
5,FH Allen,Nasum Ahmed,TWM Latham,0,0,0,0,,0,1,1,-,6.0,0,,,0,,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,False,93,Right hand Bat,Left hand Bat,Left arm Orthodox
6,TWM Latham,Shakib Al Hasan,FH Allen,2,0,2,2,,2,1,1,-,1.0,0,,,1,,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,False,93,Left hand Bat,Right hand Bat,Left arm Orthodox
7,TWM Latham,Shakib Al Hasan,FH Allen,1,0,1,3,,3,2,1,-,2.0,0,,,1,,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,False,93,Left hand Bat,Right hand Bat,Left arm Orthodox
8,FH Allen,Shakib Al Hasan,TWM Latham,0,0,0,3,,0,2,1,-,3.0,0,,,1,,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,False,93,Right hand Bat,Left hand Bat,Left arm Orthodox
9,FH Allen,Shakib Al Hasan,TWM Latham,0,0,0,3,,0,3,1,-,4.0,0,,,1,,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,False,93,Right hand Bat,Left hand Bat,Left arm Orthodox
