,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,JP Bray,Mashrafe Mortaza,WTS Porterfield,0,0,0,0,137,0,1,0,-,1.0,0,0,,,field,Ireland,2,Trent Bridge,2009,06,Bangladesh_Ireland_2009-06-08,Ireland,Ireland,Bangladesh,True,138,,Left hand Bat,Right arm Fast
1,JP Bray,Mashrafe Mortaza,WTS Porterfield,0,0,0,0,137,0,2,0,-,2.0,0,0,,,field,Ireland,2,Trent Bridge,2009,06,Bangladesh_Ireland_2009-06-08,Ireland,Ireland,Bangladesh,True,138,,Left hand Bat,Right arm Fast
2,JP Bray,Mashrafe Mortaza,WTS Porterfield,0,0,0,0,137,0,3,0,-,3.0,0,0,,,field,Ireland,2,Trent Bridge,2009,06,Bangladesh_Ireland_2009-06-08,Ireland,Ireland,Bangladesh,True,138,,Left hand Bat,Right arm Fast
3,JP Bray,Mashrafe Mortaza,WTS Porterfield,0,0,0,0,137,0,4,0,-,4.0,0,0,,,field,Ireland,2,Trent Bridge,2009,06,Bangladesh_Ireland_2009-06-08,Ireland,Ireland,Bangladesh,True,138,,Left hand Bat,Right arm Fast
4,JP Bray,Mashrafe Mortaza,WTS Porterfield,1,0,1,1,136,1,5,0,-,5.0,0,0,,,field,Ireland,2,Trent Bridge,2009,06,Bangladesh_Ireland_2009-06-08,Ireland,Ireland,Bangladesh,True,138,,Left hand Bat,Right arm Fast
5,WTS Porterfield,Mashrafe Mortaza,JP Bray,0,0,0,1,136,0,1,0,-,6.0,0,0,,,field,Ireland,2,Trent Bridge,2009,06,Bangladesh_Ireland_2009-06-08,Ireland,Ireland,Bangladesh,True,138,Left hand Bat,,Right arm Fast
6,JP Bray,Rubel Hossain,WTS Porterfield,1,0,1,2,135,2,6,0,-,1.0,1,0,,,field,Ireland,2,Trent Bridge,2009,06,Bangladesh_Ireland_2009-06-08,Ireland,Ireland,Bangladesh,True,138,,Left hand Bat,Right arm Fast
7,WTS Porterfield,Rubel Hossain,JP Bray,0,0,0,2,135,0,2,0,-,2.0,1,0,,,field,Ireland,2,Trent Bridge,2009,06,Bangladesh_Ireland_2009-06-08,Ireland,Ireland,Bangladesh,True,138,Left hand Bat,,Right arm Fast
8,WTS Porterfield,Rubel Hossain,JP Bray,0,0,0,2,135,0,3,0,-,3.0,1,0,,,field,Ireland,2,Trent Bridge,2009,06,Bangladesh_Ireland_2009-06-08,Ireland,Ireland,Bangladesh,True,138,Left hand Bat,,Right arm Fast
9,WTS Porterfield,Rubel Hossain,JP Bray,0,0,0,2,135,0,4,0,-,4.0,1,0,,,field,Ireland,2,Trent Bridge,2009,06,Bangladesh_Ireland_2009-06-08,Ireland,Ireland,Bangladesh,True,138,Left hand Bat,,Right arm Fast
10,WTS Porterfield,Rubel Hossain,JP Bray,0,1,1,3,134,0,5,0,wides,4.0,1,0,,,field,Ireland,2,Trent Bridge,2009,06,Bangladesh_Ireland_2009-06-08,Ireland,Ireland,Bangladesh,True,138,Left hand Bat,,Right arm Fast
